Taxon,ID,Rep,Date harvest,Height (cm),Fresh leaf mass (g),Dry leaf mass (g),LDMC,Leaf Area (cm2),SLA (cm2/g),Shoot dry biomass (g),Root dry biomass (g),Total biomass (g),RMF,Root volume (cm3),Root density (g/cm3),Coarse root diameter (mm),Length (mm),Fine root length (mm),Coarse root length (mm),Coarse root specific length (cm/g),Fine root specific length (cm/g),Proportion fine roots
Avena barbata,AVEBAR,1,10/25/21,10,0.032,0.00729,0.2278125,1.988,272.702332,0.013,0.039,0.052,0.75,1.034,0.037717602,0.4539,638.7929,521.9077,116.8852,2997.05641,13382.24872,0.817021761
Avena barbata,AVEBAR,2,10/25/21,17.1,0.084,0.01763,0.209880952,5.934,336.5853659,0.044,0.105,0.149,0.704697987,2.109,0.049786629,0.4907,1115.1047,864.2988,250.8059,2388.627619,8231.417143,0.775083093
Avena barbata,AVEBAR,3,10/25/21,16.1,0.072,0.01535,0.213194444,4.629,301.5635179,0.042,0.109,0.151,0.721854305,2.432,0.044819079,0.6013,855.6436,622.4971,233.1465,2138.958716,5710.982569,0.727519145
Avena barbata,AVEBAR,4,10/25/21,12.1,0.047,0.01087,0.231276596,2.831,260.4415823,0.026,0.059,0.085,0.694117647,1.235,0.047773279,0.431,845.9809,688.0322,157.9487,2677.09661,11661.56271,0.813295194
Avena barbata,AVEBAR,5,11/1/21,19.1,0.103,0.02595,0.251941748,5.529,213.0635838,0.058,lost,NA,NA,2.173,NA,0.5112,1058.4574,828.3852,230.0722,NA,NA,0.782634426
Avena barbata,AVEBAR,6,10/25/21,15.1,0.062,0.01468,0.236774194,3.741,254.8365123,0.025,0.053,0.078,0.679487179,1.045,0.050717703,0.39,874.4264,738.2463,136.1801,2569.435849,13929.17547,0.844263508
Hypochaeris glabra,HYGL,1,10/22/21,0.4,0.004184,0.00029,0.069311663,0.161,555.1724138,0.00216,0.00228,0.00444,0.513513514,1.462,0.001559508,0.9762,195.2941,132.608,62.6861,27493.90351,58161.40351,0.679016929
Hypochaeris glabra,HYGL,2,11/1/21,0.1,0.010073,0.00057,0.056586916,0.287,503.5087719,0.00161,0.00144,0.00305,0.472131148,1.29,0.001116279,0.9416,185.2214,153.957,31.2644,21711.38889,106914.5833,0.83120525
Hypochaeris glabra,HYGL,3,10/25/21,0.4,0.012228,0.00124,0.101406608,0.373,300.8064516,0.00364,0.00316,0.0068,0.464705882,1.002,0.003153693,0.7252,242.5414,190.5689,51.9725,16446.99367,60306.61392,0.785716995
Hypochaeris glabra,HYGL,4,10/22/21,1.2,0.017697,0.00191,0.107927897,0.727,380.6282723,0.016,0.006,0.022,0.272727273,0.83,0.007228916,0.4692,479.7505,430.119,49.6315,8271.916667,71686.5,0.896547268
