Taxon,Height..cm._mean,Height..cm._sd,Fresh.leaf.mass..g._mean,Fresh.leaf.mass..g._sd,Dry.leaf.mass..g._mean,Dry.leaf.mass..g._sd,LDMC_mean,LDMC_sd,Leaf.Area..cm2._mean,Leaf.Area..cm2._sd,SLA..cm2.g._mean,SLA..cm2.g._sd,Shoot.dry.biomass..g._mean,Shoot.dry.biomass..g._sd,Root.dry.biomass..g._mean,Root.dry.biomass..g._sd,Total.biomass..g._mean,Total.biomass..g._sd,RMF_mean,RMF_sd,Root.volume..cm3._mean,Root.volume..cm3._sd,Root.density..g.cm3._mean,Root.density..g.cm3._sd,Coarse.root.diameter..mm._mean,Coarse.root.diameter..mm._sd,Length..mm._mean,Length..mm._sd,Fine.root.length..mm._mean,Fine.root.length..mm._sd,Coarse.root.length..mm._mean,Coarse.root.length..mm._sd,Coarse.root.specific.length..cm.g._mean,Coarse.root.specific.length..cm.g._sd,Fine.root.specific.length..cm.g._mean,Fine.root.specific.length..cm.g._sd,Proportion.fine.roots_mean,Proportion.fine.roots_sd
Trifolium eriocephalum,0.25,0.187082869,0.000608333,0.000248388,0.000104,5.13E-05,0.208266345,0.119062189,0.024333333,0.009458682,337.7489178,373.1352065,0.000587167,0.000425798,0.000171,0.000140225,0.000602,0.000260697,0.270498408,0.135456899,2.44975,0.262478412,7.19E-05,6.18E-05,1.720325,0.13155446,105.514975,5.475979914,40.835625,14.90452665,64.67935,9.640120292,604778.8498,461682.3082,320040.4587,201529.0441,0.382400157,0.122148573
Crassula unknown,0.983333333,0.462240918,0.000398333,0.00011479,2.88E-05,6.79E-06,0.076029133,0.021135982,0.010666667,0.001032796,382.2252859,68.27241728,0.008125,0.004500941,0.0005155,0.000468757,0.0086405,0.004881613,0.053056117,0.034682888,2.158,0.200558221,0.000244867,0.000223814,1.496083333,0.140862251,123.8830667,13.98450431,67.28528333,19.15112886,56.59778333,5.60956859,3496546.647,8091147.215,3506624.07,8065397.676,0.535711657,0.080826819
Castilleja attenuata,0.833333333,0.550757055,0.00105,0.000711407,9.90E-05,6.61E-05,0.097190669,0.009122362,0.054333333,0.032347076,567.5035562,71.05261209,0.001593333,0.000194251,0.00027,0.000238956,0.001863333,0.000433167,0.128248422,0.107895115,2.357,0.164109719,0.000112178,0.000101271,1.534033333,0.062654476,127.8039333,11.54401963,61.0146,5.838026873,66.78933333,8.55988564,2022016.597,3178532.936,2069618.924,3309790.472,0.478198962,0.035551867
Triteleia laxa,3.5,1.410673598,0.007146667,0.00507021,0.001268333,0.000969308,0.17462184,0.014448847,0.275666667,0.177319862,227.8096015,60.52717657,0.001268333,0.000969308,0.001499333,0.001530582,0.002767667,0.002493609,0.467267397,0.173235606,2.232333333,0.329595712,0.000706122,0.000705511,1.6524,0.218181507,105.7391333,20.12113963,30.87126667,12.36640349,74.86786667,7.834429673,142911.3364,170462.1741,47353.34659,49602.8302,0.28473905,0.058014344
Vicia villosa,33.85,6.891371416,0.040724833,0.020620977,0.005548333,0.002707415,0.136467351,0.019910292,2.892166667,1.523018899,530.2685069,90.54234628,0.2955,0.209718621,0.07651,0.046433771,0.37201,0.254404393,0.228125482,0.061225651,2.834333333,0.847215832,0.02496431,0.01176997,0.760816667,0.14141026,695.6723833,314.9215367,412.46995,207.4408398,283.2024333,117.3901705,4862.360446,2619.036242,7693.917852,5707.733192,0.588943251,0.078345567
Madia elegans,3.466666667,2.479124968,0.049749091,0.021431652,0.005504167,0.003322599,0.105754094,0.026097107,1.59425,0.907295995,296.2382539,58.73358304,0.030259167,0.0217395,0.032333333,0.032003788,0.0625925,0.053041886,0.487372935,0.075846456,1.626083333,0.510836828,0.017285063,0.009691682,0.51305,0.056797927,830.97955,366.0022561,656.8035667,280.2748684,174.1759833,94.71069306,7130.675543,2984.148382,28609.37085,14045.91451,0.790659938,0.044075652
Geranium dissectum,4.7,1.092397974,0.0786075,0.025169385,0.022285,0.007890249,0.280457825,0.027731005,4.021,1.283341732,184.2363047,20.38878048,0.10143,0.043810442,0.07725,0.035131894,0.17868,0.078031093,0.429110886,0.029253279,2.16325,0.710067778,0.034352681,0.009379467,0.5222,0.147728873,1229.6052,943.5549509,1019.2761,869.5442347,210.3291,83.30234218,3010.172859,1068.266408,13809.2158,8025.701974,0.800075341,0.060555412
Rumex pulcher,2.566666667,0.765941686,0.180333333,0.106703989,0.019408333,0.012649312,0.106832804,0.015491836,6.837166667,3.569729089,377.0577183,55.7052796,0.089768333,0.059776383,0.319666667,0.301705596,0.409435,0.358392418,0.71710275,0.098349894,1.893,0.752820032,0.141067896,0.095496429,0.515716667,0.104245085,929.7274333,315.46586,740.8597167,263.8334496,188.8677167,61.18535482,1670.623705,1927.384688,6150.034969,6130.468639,0.792395246,0.034204615
Vicia sativa ,30.98333333,7.801388765,0.07443,0.035725435,0.012783333,0.005586457,0.17909262,0.032226015,5.728666667,2.561105126,448.2564838,103.4385444,0.401346667,0.238037993,0.0835,0.03519517,0.484846667,0.272372536,0.186599084,0.03453051,2.639666667,0.623602331,0.030695271,0.006797579,0.616683333,0.058231312,891.0954,218.1662359,632.5150333,156.8846743,258.5803667,72.45276491,3266.668063,507.611479,8246.59528,2372.856187,0.709905593,0.036666628
Filago gallica,1.833333333,0.492612085,0.539539,0.752364882,0.000126667,0.000118096,0.045937606,0.063678784,0.080833333,0.050085593,1303.641975,997.6864985,0.00219,0.001139368,0.001286667,0.00029262,0.003476667,0.001427847,0.39100451,0.063425058,1.206666667,0.195375195,0.001084989,0.000254609,0.964633333,0.120643685,166.00745,15.20765703,87.59566667,19.60792546,78.41178333,5.389796935,62820.4676,10580.04095,71592.16249,23780.56779,0.522745036,0.067549137
Avena barbata,40.68333333,64.26278602,0.066666667,0.02553168,0.015295,0.006372176,0.228480072,0.01553761,4.108666667,1.541737548,273.1988157,42.28196987,0.034666667,0.016268579,0.073,0.031906112,0.103,0.044637428,0.710031424,0.027165752,1.671333333,0.634146566,0.046162858,0.005234498,0.479683333,0.073461865,898.06765,170.3673016,710.5612167,128.1695705,187.5064333,57.26620879,2554.235041,320.6622206,10583.07732,3516.478243,0.793302855,0.040822885
Annagalis arvensis,3.366666667,4.736102476,0.017326667,0.004238253,0.002345,0.000439352,0.138618155,0.024717544,0.780666667,0.211928919,334.5339627,76.35405042,0.012098333,0.001503521,0.009275,0.004763863,0.021373333,0.006161583,0.410299341,0.10445026,1.4675,0.45909988,0.006902007,0.003726002,0.6913,0.24907439,430.9453333,131.9851238,339.3117333,129.6394212,91.6336,12.22211512,12441.30712,6782.144058,40175.95526,16536.56007,0.76285399,0.108847925
Galium aparine,7.2,NA,0.01712,NA,0.00148,NA,0.086448598,NA,0.441,NA,297.972973,NA,0.035,NA,0.024,NA,0.059,NA,0.406779661,NA,1.439,NA,0.016678249,NA,0.5126,NA,697.2206,NA,581.6497,NA,115.5709,NA,4815.454167,NA,24235.40417,NA,0.834240555,NA
Festuca microstachys,13.6,2.726169474,0.009452,0.005611476,0.002255,0.001109049,0.268169293,0.082291115,0.560333333,0.215555716,260.2539576,39.42704528,0.023341667,0.017412265,0.019028333,0.011719059,0.04237,0.025594235,0.475069709,0.176348272,1.513,0.550959164,0.013362273,0.006499713,0.703633333,0.223980969,402.1109833,120.2622863,293.4128333,109.4957486,108.69815,49.40893418,6381.490428,2660.641496,19964.1977,14224.58274,0.7161806,0.134779412
Eschscholzia californica,4.125,1.24465524,0.0085895,0.002241112,0.0014125,0.000331901,0.168206086,0.0323355,0.5295,0.174238343,375.4130402,97.38445479,0.01338,0.007947595,0.0060225,0.00336899,0.0194025,0.011180261,0.309083324,0.062030518,1.20075,0.168294137,0.004950762,0.002477543,0.7668,0.133529373,275.298225,86.0010538,193.883925,86.45972775,81.4143,25.72711894,17054.46205,10632.55976,34574.83427,9391.275209,0.680200646,0.128368426
Lasthenia californica,4.583333333,0.63691967,0.011798833,0.003028324,0.00122,0.000244786,0.106453402,0.023141137,0.296666667,0.088439056,242.0887076,45.69728312,0.012833333,0.006493587,0.007203333,0.00376937,0.020036667,0.008584646,0.373791169,0.163378772,1.091666667,0.243675741,0.006505472,0.003135251,0.65215,0.139391373,343.6642,102.5541164,268.1098167,116.0479679,75.55438333,25.5336398,12412.30027,6450.343966,45839.07603,25541.96045,0.756574827,0.124826206
