name,Achillea millefolium,Agoseris unknown ,Aira caryophyllea,Amsinckia mensiezii,Anagallis arvensis,Annagalis arvensis,Aphanes occidentalis,Avena barbata,Avena fatua,Brassica nigra,Briza minor,Bromus carinatus,Bromus diandrus,Bromus hordeaceus,Bromus madritensis,Carduus pycnocephalus,Castilleja attenuata,Centaurea solistitialis,Cerastium glomeratum,Chamomilla suavolens,Clarkia purpurea,Convolvulus arvensis,Crassula unknown,Cynodon dactylon,Dichelostemma capitatum,Erodium botrys,Erodium cicutarium,Erodium moschatum,Eschscholzia californica,Festuca microstachys,Festuca myuros,Filago gallica,Galium aparine,Geranium dissectum,Geranium molle,Gilia tricolor,Hordeum murinum,Hypochaeris glabra,Hypochaeris radicata,Lactuca serriola,Lasthenia californica,Leontodon uknown,Lepidium nitidum,Linum bienne,Lolium multiflorum,Lotus purshianus,Lupinus bicolor,Madia elegans,Micropus californicus,Nemophila maculata,Plagiobothrus nothfulvus,Plantago erecta,Rumex pulcher,Sanicula unknown,Sherardia arvensis,Spergularia rubra,Stipa pulchra,Taeniatherum caput-medusae,Trifolium ciliolatum,Trifolium dubium,Trifolium eriocephalum,Trifolium glomeratum,Trifolium hirtum,Trifolium pratense,Trifolium subterraneum,Trifolium wildenovii,Triteleia laxa,Vicia sativa ,Vicia villosa,Vulpia bromoides,rowname
Height..cm._min,2.7,3.3,3.4,11.8,2.9,0.9,2.5,10,19.3,1.7,4.1,16.5,12.2,3.9,6.8,0.2,0.2,1.5,3.9,2.2,1.4,3.5,0.3,7.9,1.4,3.2,1.5,3.8,2.7,10.1,8.6,1.3,7.2,3.1,3.9,2.5,15,0.1,0.5,0.1,3.7,0.5,2.5,2.7,11.9,2.5,3,0.9,2,2.8,1.6,4.8,1.4,2.7,6,2.5,6.6,18,4,1.8,0.1,2.5,1.9,2.3,2.9,3.9,2.2,18.5,22.3,11.4,Height..cm._min
Height..cm._max,5.8,5.1,5.2,14.1,4.3,13,4.2,171.7,26.5,6,5.8,30,20.9,19.7,18.2,1.5,1.2,4.7,4.8,2.6,12.9,6.2,1.5,12.7,3.8,4.6,2.3,5.9,5.7,17.4,14.6,2.4,7.2,5.4,6.3,5.9,19.9,1.4,2,1.1,5.6,2.2,5.8,6.4,14.9,6.7,7.6,7.7,4,5.1,2.3,10.3,3.3,4.4,10.8,4.1,19,20.4,6.3,3.3,0.6,3.3,4,3.8,5,6.6,5,40.5,43,16.7,Height..cm._max
Height..cm._mean,3.96,4.0333,4.7167,13.25,3.68,3.3667,3.2833,40.6833,23.4667,3.575,4.85,22.15,16.4833,13.1333,10.72,0.8333,0.8333,2.82,4.3333,2.4,4.3,4.9667,0.9833,9.4333,2.36,3.675,1.7833,4.775,4.125,13.6,11.65,1.8333,7.2,4.7,4.78,4.6429,17.4333,0.7,1.1,0.54,4.5833,1.3,3.8083,4.28,13.2833,4.3,5.8667,3.4667,3.25,4.0333,2.05,7.5167,2.5667,3.78,9.2,3.0333,12.2667,19.0167,5.16,2.5833,0.25,2.8,2.9875,3.2167,3.9,4.9944,3.5,30.9833,33.85,13.2167,Height..cm._mean
Height..cm._median,3.8,3.95,4.9,13.45,3.7,1.5,3.4,15.6,23.7,3.25,4.75,23.05,16.85,13.3,9.5,0.85,1.1,2.5,4.25,2.4,2.25,5.05,1,9.05,2.2,3.45,1.65,4.7,4.05,12.75,12.05,1.8,7.2,5.15,4.6,5.1,17.2,0.4,0.95,0.6,4.5,1.35,3.65,4,13.4,3.8,6.7,2.6,3.3,4.05,2.05,7.3,2.8,3.9,10,2.8,12.95,19,5.2,2.65,0.2,2.6,3.05,3.3,3.7,5.1,3.3,30.2,34.05,12.6,Height..cm._median
Height..cm._q1,3.5,3.675,4.9,12.8,3.4,1.275,2.875,12.85,22.7,2.325,4.325,18.075,13.65,10.2,7.5,0.4,0.65,1.8,4.125,2.275,1.875,4.175,0.725,8.575,1.9,3.35,1.6,3.95,3.525,12.375,10.05,1.425,7.2,4.45,4.1,4.1,15.4,0.4,0.825,0.2,4.325,1,3.075,2.9,12.35,3.15,4.675,1.2,3.025,3.85,2,5.825,2.075,3.9,8.775,2.625,8.6,18.675,4.9,2.3,0.125,2.5,2.525,2.95,3.4,4.35,2.75,28.725,32.3,11.8,Height..cm._q1
Height..cm._q3,4,4.225,4.975,13.95,4.1,1.95,3.475,18.35,24.85,4.65,5.275,23.675,18.85,17.6,11.6,1.2,1.15,3.6,4.6,2.525,5.325,5.85,1.35,9.375,2.5,3.775,1.925,5.525,4.65,15.45,12.925,2.25,7.2,5.4,5,5.4,19.675,1.2,1.3,0.7,4.825,1.475,4.225,5.4,13.925,5.5,7.075,5.4,3.8,4.325,2.25,9.3,3.15,4,10.425,3.275,14.45,19.1,5.4,2.8,0.275,3.3,3.55,3.65,4.5,5.45,4.15,36.25,37,14,Height..cm._q3
Fresh.leaf.mass..g._min,0.0617,0.046,0.0026,0.0588,0.0281,0.0119,0.0284,0.032,0.051,0.0423,0.0145,0.024,0.049,0.0031,0.0101,0.0114,3.00E-04,0.0498,0.0386,0.0175,0.0087,0.0186,2.00E-04,0.021,0.0232,0.0565,0.0307,0.0674,0.0057,0.0023,0.0037,4.00E-04,0.0171,0.0413,0.044,0.0104,0.0329,0.0042,0.0033,0.0163,0.0083,0.0104,0.0064,3.00E-04,0.0295,0.0054,0.0268,0.0247,0.0026,0.0341,0.0306,0.0206,0.0417,0.0285,0.0043,0.0165,0.0086,0.0093,0.0291,0.0095,4.00E-04,0.0337,0.0274,0.0539,0.0479,0.0107,0.0032,0.0279,0.0133,0.0028,Fresh.leaf.mass..g._min
Fresh.leaf.mass..g._max,0.1138,0.0847,0.0035,0.077,0.0372,0.0222,0.0783,0.103,0.198,0.1305,0.2076,0.095,0.145,0.08,0.072,0.4238,0.0017,0.0745,0.0875,0.0268,0.0305,0.0721,5.00E-04,0.055,0.0736,0.0813,0.041,0.1456,0.0106,0.0182,0.009,1.883,0.0171,0.0962,0.1521,0.045,0.0961,0.0417,0.047,0.0779,0.0161,0.0551,0.0174,0.002,0.0542,0.035,0.0706,0.0948,0.0056,0.0923,0.0372,0.0877,0.3281,0.053,0.0075,0.0197,0.039,0.0163,0.054,0.0214,9.00E-04,0.0511,0.0639,0.0727,0.0937,0.0351,0.0128,0.1268,0.071,0.0052,Fresh.leaf.mass..g._max
Fresh.leaf.mass..g._mean,0.0864,0.0594,0.0029,0.071,0.0318,0.0173,0.0411,0.0667,0.1105,0.0845,0.0913,0.0518,0.091,0.0338,0.0273,0.1438,0.001,0.0628,0.0541,0.0213,0.0158,0.0437,4.00E-04,0.0332,0.0359,0.0675,0.0363,0.1039,0.0086,0.0095,0.0069,0.5395,0.0171,0.0786,0.0951,0.0245,0.0629,0.0172,0.0132,0.0402,0.0118,0.0357,0.0104,0.001,0.0429,0.0168,0.0489,0.0497,0.0044,0.0621,0.0334,0.0459,0.1803,0.0385,0.0064,0.018,0.0218,0.0129,0.0448,0.0165,6.00E-04,0.044,0.0481,0.0619,0.0683,0.0197,0.0071,0.0744,0.0407,0.0039,Fresh.leaf.mass..g._mean
Fresh.leaf.mass..g._median,0.074,0.0549,0.0029,0.0735,0.031,0.0177,0.0369,0.067,0.111,0.0855,0.0827,0.046,0.0905,0.037,0.019,0.0782,0.0012,0.0615,0.0503,0.0205,0.013,0.0436,4.00E-04,0.03,0.0293,0.0661,0.0366,0.1012,0.0091,0.0094,0.0072,0.2169,0.0171,0.0885,0.0893,0.0231,0.0617,0.0122,0.0074,0.0263,0.0116,0.0364,0.0099,9.00E-04,0.0433,0.0123,0.0533,0.0422,0.0043,0.0614,0.0328,0.0444,0.1487,0.0398,0.0068,0.0181,0.021,0.0138,0.047,0.0165,5.00E-04,0.0452,0.0487,0.0611,0.0635,0.019,0.0054,0.0786,0.036,0.0036,Fresh.leaf.mass..g._median
