"","AGSP","AICA","AMME","ANAR","APOC","ASSP","AST1","AST2","AST3","AVBA","BRDI","BRHO","BRMA","BRMI","CAAT","CAPY","CEGL","CESO","CHSU","CIQU","COAR","CRTI","CYEC","DACA","DICA","DIMU","ERBO","ERCI","ERMO","FIGA","GAAP","GAGR","GAPA","GAPH","GEDI","GEMO","HOMU","HYRA","HYSP","JUBU","LASE","LIBI","LOMU","LYHY","MAD1","MAD2","NAPU","PAVI","PLNO","SABI1","SABI2","SHAR","SIGA","SPRU","STPU","TACA","THGR","TRDU","TRER","TRGL","TRHI","TRLA","TRPR","TRSP","TRSU","UNBU","UNF1","UNF3","UNF4","UNF8","UNFR","UNGR","VISA","VUBR","XAST"
"control_control_2021_1",0,0.0873545546664803,0,0,0,0,0,0,0,6.98836437331843e-05,0,0.0209650931199553,0,6.98836437331843e-05,0,0,0,0,0,6.98836437331843e-05,0,0,0,0,0,0,0.0104825465599776,0.0314476396799329,0,0,0,0,0,0,0,6.98836437331843e-05,0,0,6.98836437331843e-05,0,0,6.98836437331843e-05,0.104825465599776,0,0,0,6.98836437331843e-05,0,0,0,0,0,0,0,0,0.384360040532513,0,0.0454243684265698,0.104825465599776,0,0,6.98836437331843e-05,0,0,0.0873894964883469,0,0,0,0,0,0,0,6.98836437331843e-05,0.122296376533072,0
"control_control_2021_2",0,0.013822556943424,0,0,0,0,0,0,9.1844232182219e-05,0.0137766348273328,0,0.505143277002204,9.1844232182219e-05,9.1844232182219e-05,0,0,0,0,9.1844232182219e-05,0,0,0,0,0,0,0,0.00463813372520206,9.1844232182219e-05,0,0,0,0,9.1844232182219e-05,0,0,9.1844232182219e-05,9.1844232182219e-05,0,0,0,0,0,0.013822556943424,0,0,0,9.1844232182219e-05,0,0.00459221160911095,0,0,0,0,0,0,0.413299044819985,0,9.1844232182219e-05,0,0,9.1844232182219e-05,0,0,0,0.0298952975753123,0,0,0,0,0,0,0,0,0,0
"control_dry_2021_1",0,0.0317292437863564,0,0,0,0,0,0,0,0.0158646218931782,0,0,0,0.000105764145954521,0,0,0,0,0,0,0,0,0,0,0,0,0.00534108937070333,0,0,0,0,0,0,0,0,0.000105764145954521,0,0,0,0,0,0,0.0898995240613432,0,0,0,0.0106292966684294,0,0,0,0,0.000105764145954521,0,0,0.0846113167636171,0.396615547329455,0,0,0.0211528291909043,0,0,0.000105764145954521,0,0,0.0528820729772607,0,0,0,0,0,0,0,0,0.290851401374934,0
"control_dry_2021_2",0,0.201658077526328,0,0,0,0,0,0,0,0.425722608111136,0,0,0,8.96258122339233e-05,0,0,0,0,8.96258122339233e-05,0,0,0,0,0,0,0,0.00452610351781313,0.00448129061169617,0.00448129061169617,0,0,0,8.96258122339233e-05,0,0,0.00896258122339233,8.96258122339233e-05,0,0,0,0,0,8.96258122339233e-05,0,0,0,0.0112032265292404,0.053775487340354,8.96258122339233e-05,0,0,8.96258122339233e-05,0,0,0,0.246470983643289,0,0,0,0,0.026887743670177,0.0112032265292404,0,0,0,0,0,0,0,0,0,0,0,0,0
"control_wet_2021_1",0,0.078509368784675,0,0,0,5.23395791897833e-05,0,0,5.23395791897833e-05,0.0392546843923375,0,0.00526012770857322,0,0.015701873756935,0,0,0,0,0,0,0,0,0.0104679158379567,0,0,0,0.0078509368784675,0.0131110645870407,0,0,0,0,0,0,0.00523395791897833,0,0,0,5.23395791897833e-05,0,0,0,0.261697895948917,0,0,0,0,0,0,0,0,5.23395791897833e-05,0,0,0,0.0523395791897833,0,0.0915942635821208,0.104679158379567,0,0,0,0,0,0.15701873756935,5.23395791897833e-05,0,0,0,0,0,0,0,0.15701873756935,0
"control_wet_2021_2",0,0.00491939019044372,0,0,0,0,0,0,9.74136671374994e-05,0.00491939019044372,9.74136671374994e-05,9.74136671374994e-05,0,9.74136671374994e-05,0,0,0,0,9.74136671374994e-05,0,0,0,0,0,0,0,0.00248404851200623,9.74136671374994e-05,0,0,0,0,9.74136671374994e-05,0,9.74136671374994e-05,9.74136671374994e-05,0.0146607569041937,0,0,0,0,0,0.267936291461692,0,0,0,0,0,0.00248404851200623,0,0,9.74136671374994e-05,0,0,0,0.681895669962496,0,9.74136671374994e-05,0,0,0,0,0,0,0.00979007354731869,0.0073547318688812,0,0,0,0,0,0,0.00248404851200623,0,0
"+N fertilizer_control_2021_1",0,0.00611454171207168,0,0,0,0,0,0,0.00012108003390241,0.405618113573072,0,0.00012108003390241,0,0.00012108003390241,0,0,0,0,0,0,0,0,0,0,0,0,0.00012108003390241,0,0,0,0,0,0.00012108003390241,0,0,0.00012108003390241,0,0,0,0,0,0,0.0121685434071922,0,0,0,0,0,0.00012108003390241,0,0,0,0,0,0,0.51459014408524,0,0.00012108003390241,0.0242160067804819,0,0,0,0,0,0.0302700084756024,0.00605400169512048,0,0,0,0,0,0,0,0,0
"+N fertilizer_control_2021_2",0,0,0,0,0,0,0,0,0,0.00906957855789189,0,0.27073368829528,9.02445627650934e-05,0,0,0,0,0.00902445627650934,0,0,0,0,0,0,0.00230123635050988,0,9.02445627650934e-05,0,0,0,0,0,0.00902445627650934,0,0,0.00902445627650934,0,0,0,0,0,9.02445627650934e-05,0.00455735041963722,0,0,0,0,0,9.02445627650934e-05,0,0.00455735041963722,0,0,0,0,0.654273080046927,0,0,0,0,0,0,0,0,0.027073368829528,0,0,0,0,0,0,0,0,0,0
"+N fertilizer_dry_2021_1",0,0.0325044693645376,0,0,0,0,0,0,0,0,0,0.00812611734113441,0,8.12611734113441e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0284414106939704,0.00410368925727288,0,0,0,0,8.12611734113441e-05,0,0,0,0,0,8.12611734113441e-05,0,0,0,0.223468226881196,0,0,0,8.12611734113441e-05,0,0,0,0,8.12611734113441e-05,0,0,0.0812611734113441,0.365675280351048,0,0,0.0812611734113441,0,0,0.040630586705672,0,0,0.0609865106452137,0,0,0,0,0,0,0,0.00812611734113441,0.0650089387290753,0
"+N fertilizer_dry_2021_2",0,0,0,0,0,0,0,0,0,9.94332305856617e-05,0,0.124291538232077,0,0,0,0,0,0,0,0,0,0,9.94332305856617e-05,0,0,0,9.94332305856617e-05,0,0,0,0,0,0.00994332305856617,0,0,0,0,0,0,0,0,0,9.94332305856617e-05,0,0,0,0,0,0.00994332305856617,0,0,0.00994332305856617,0,0,0,0.845182459978125,0,0,0,0,9.94332305856617e-05,0,0,0,0,9.94332305856617e-05,0,0,0,0,0,0,0,9.94332305856617e-05,0
