"","AGSP","AICA","AMME","ANAR","APOC","ASSP","AST1","AST2","AST3","AVBA","BRDI","BRHO","BRMA","BRMI","CAAT","CAPY","CEGL","CESO","CHSU","CIQU","COAR","CRTI","CYEC","DACA","DICA","DIMU","ERBO","ERCI","ERMO","FIGA","GAAP","GAGR","GAPA","GAPH","GEDI","GEMO","HOMU","HYRA","HYSP","JUBU","LASE","LIBI","LOMU","LYHY","MAD1","MAD2","NAPU","PAVI","PLNO","SABI1","SABI2","SHAR","SIGA","SPRU","STPU","TACA","THGR","TRDU","TRER","TRGL","TRHI","TRLA","TRPR","TRSP","TRSU","UNBU","UNF1","UNF3","UNF4","UNF8","UNFR","UNGR","VISA","VUBR","XAST"
"control_control_2021_3",0,0,0.0288364492718797,0,0,0,0,0,0,0.841063103763157,9.61214975729322e-05,0.024030374393233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288364492718797,9.61214975729322e-05,0,0,0,0,0,0.0144182246359398,0,0,0,0,0,0,0,0,0,0,0,0,9.61214975729322e-05,0,0,0,0,0.00966021050607968,0.0192242995145864,0,0,0,0,0,0,0,0,0,0,0.0336425241505263,0,0
"control_control_2021_4",0,0,0.0142209203439478,0,0,0,0,0,9.44911650760654e-05,9.44911650760654e-05,0.786638949258244,0.10157800245677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44911650760654e-05,0,0,0,0,0,9.44911650760654e-05,0,0,0.0141736747614098,0.0141736747614098,0,0,0,0,0.00472455825380327,9.44911650760654e-05,0,0,0,0,0,0,0,0,0,0,0,0.0141736747614098,9.44911650760654e-05,0,9.44911650760654e-05,0,0,0,0,0.0188982330152131,0,0,0.0283473495228196,0,0,0,0,0,0,0.00240952470943967,0,0
"control_dry_2021_3",0,0,0.0961795351322468,0,0,0,0,0,0,0.79615281859471,0,0.000106866150146941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160299225220411,0,0,0,0,0,0,0,0,0.0321132781191557,0.0587763825808175,0,0,0,0.000106866150146941,0,0.000106866150146941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106866150146941,0.000106866150146941,0,0,0,0,0,0,0.000106866150146941,0,0,0,0.000106866150146941,0,0
"control_dry_2021_4",0,0,0.100567912920019,0,0,0,0,0,0,0.165641268338855,0.354945575011832,0.0414103170847137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118315191670611,0,0,0,0,0,0,0,0,0.000118315191670611,0.295787979176526,0,0,0,0,0,0.000118315191670611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147893989588263,0,0.0147893989588263,0,0,0,0,0,0,0,0,0,0,0,0
"control_wet_2021_3",0,0,0.00503489531405783,0,0,0,0,0,0,0.94715852442672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97008973080758e-05,0,0,0,0,0,0,0,9.97008973080758e-05,9.97008973080758e-05,0.0299102691924227,0,0,0,0,0,0.00997008973080758,0,0,0,0,0,0,0,0,0.00498504486540379,0,0,0,0,0,0,0,0,9.97008973080758e-05,0,0,0,0,0,0,0,0,0,0,0,0.00254237288135593,0,0
"control_wet_2021_4",0,0,0.00234321157822192,0,0,0,0,0,9.18906501263496e-05,9.18906501263496e-05,0.707558005972892,0.0459453250631748,0.137835975189524,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18906501263496e-05,0,0,0,0,0,9.18906501263496e-05,0,0,0.0115322765908569,0.00234321157822192,0,0,0,0,0,0.00918906501263496,0,0,0,0,0,0,0,0.00459453250631748,0,0,0,0,9.18906501263496e-05,0,9.18906501263496e-05,0,0,0,0,0.0321617275442224,0,0,0.00459453250631748,0,0,0,0,0,0,0.0413507925568573,0,0
"+N fertilizer_control_2021_3",0,0,0.00229595282042047,0,0,0,0,0,9.00373655066853e-05,0.495205510286769,0,0.0900373655066853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00373655066853e-05,0,0,0,0,0,9.00373655066853e-05,0,0,0.11259172556611,0.121550443434025,0,0,0,0,0,0.0495205510286769,0,0,0,0,0,0,0,0,0,0,0,0,0.121550443434025,0,9.00373655066853e-05,0,0,0.00450186827533426,0.00229595282042047,0,0,0,0,0,0,0,0,0,0,9.00373655066853e-05,0,0
"+N fertilizer_control_2021_4",0,0,0,0,0,0,0,0,0,0.0948037306549144,0.0614943117761607,0.338218714768884,0,0,0,0,0,0,0,0,0,0,0,0,0.000102490519626934,0,0.00261350825048683,0,0,0,0,0,0.000102490519626934,0,0,0.0154248232038536,0.0128113149533668,0,0,0,0,0,0.0307984011478938,0,0,0,0,0,0,0,0.00773803423183355,0,0,0,0,0.435584708414472,0,0,0,0,0.000102490519626934,0,0,0,0,0.000102490519626934,0,0,0,0,0,0,0.000102490519626934,0,0
"+N fertilizer_dry_2021_3",0,0,0.0129243494744098,0,0,0,0,0,0,0.396346717215234,0.0473892814061692,0.0473892814061692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00870239531276926,0,0,0,0,0,0,0,0,0.0172324659658797,0.103394795795278,0,0,0,0,0,0.000172324659658797,0,0,0,0,0,0,0,0,0,0,0,0,0.361881785283474,0,0,0,0,0.000172324659658797,0.00439427882129933,0,0,0,0,0,0,0,0,0,0,0,0,0
"+N fertilizer_dry_2021_4",0,0,0.000116883875869324,0,0,0,0,0,0,0.61364034831395,0.000116883875869324,0.192858395184384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175910233183332,0,0,0,0,0,0,0,0,0.0759745193150605,0.0409093565542634,0,0,0,0.0116883875869324,0,0.00590263573140085,0,0,0,0,0,0,0,0,0.0175910233183332,0,0,0,0.0116883875869324,0,0,0,0,0.00590263573140085,0,0.000116883875869324,0,0,0,0,0,0,0,0,0,0,0.00590263573140085,0
"+N fertilizer_wet_2021_3",0,0,0.000124556268294202,0,0,0,0,0,0,0.401693965248801,0.0373668804882606,0.0747337609765212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124556268294202,0,0.000124556268294202,0.0124556268294202,0.330074110979635,0,0,0,0,0,0.137011895123622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062900915488572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"+N fertilizer_wet_2021_4",0,0,0,0,0,0,0,0,0,0.466950295735187,0.0207533464771194,0.155650098578396,0,0,0,0,0,0,0,0,0,0,0,6.91778215903981e-05,0,0,6.91778215903981e-05,0,0,0,0,0,0.0207533464771194,0,6.91778215903981e-05,0.0173290443083947,0.0311300197156792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207533464771194,0,0,0,0,0.0034934799903151,0,0.0034934799903151,0,0,0,0,6.91778215903981e-05,0,0,0,0,0.259416830963993,0,0
"+compost_control_2021_3",0,0,0.000109253796569431,0,0,0,0,0,0,0.0218507593138862,0.00551731672675625,0.0218507593138862,0,0,0,0.0437015186277723,0,0,0,0,0,0,0,0,0,0,0.00551731672675625,0,0,0,0,0,0,0,0,0.0546815251830001,0.600895881131869,0,0,0,0,0,0.114716486397902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125641866054845,0,0,0,0,0,0,0,0,0,0,0,0.00551731672675625,0,0
"+compost_control_2021_4",0,0,0.0865538581382265,0,0,0,0,0,0.025966157441468,0.116847708486606,0.173150993205522,0.00220712338252478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65538581382265e-05,0,0,0,0,0,0.0432769290691132,0,0,0.0216817414636257,0.48902929848098,0,0,0,0.00649153936036699,0,8.65538581382265e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173107716276453,0,0,0,0,0,0,0,0,0,0.0173107716276453,0,0
"+compost_dry_2021_3",0,0,0.223996324162885,0,0,0,0,0,0.000114869909827121,0.0631784504049164,0.488197116765263,0,0.0229739819654242,0,0,0.000114869909827121,0,0,0,0,0,0,0,0,0,0,0.0058009304462696,0,0,0,0,0,0,0,0,0.0114869909827121,0.0229739819654242,0,0,0,0,0,0.160817873757969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114869909827121,0.000114869909827121,0,0,0,0,0,0,0,0,0,0,0.000114869909827121,0,0
"+compost_dry_2021_4",0,0,0.0866772038953755,0,0,0,0,0,0,0.000101973181053383,0.229439657370112,0.000101973181053383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153469637485341,0,0,0,0,0,0,0,0,0.000101973181053383,0.0509865905266915,0,0,0,0.00509865905266915,0,0.000101973181053383,0,0,0,0,0,0,0,0,0,0,0,0,0.254932952633457,0,0.000101973181053383,0,0,0,0,0.000101973181053383,0,0,0,0,0,0,0,0,0,0,0.35690613368684,0
