"","AGSP","AICA","AMME","ANAR","APOC","ASSP","AST1","AST2","AST3","AVBA","BRDI","BRHO","BRMA","BRMI","CAAT","CAPY","CEGL","CESO","CHSU","CIQU","COAR","CRTI","CYEC","DACA","DICA","DIMU","ERBO","ERCI","ERMO","FIGA","GAAP","GAGR","GAPA","GAPH","GEDI","GEMO","HOMU","HYRA","HYSP","JUBU","LASE","LIBI","LOMU","LYHY","MAD1","MAD2","NAPU","PAVI","PLNO","SABI1","SABI2","SHAR","SIGA","SPRU","STPU","TACA","THGR","TRDU","TRER","TRGL","TRHI","TRLA","TRPR","TRSP","TRSU","UNBU","UNF1","UNF3","UNF4","UNF8","UNFR","UNGR","VISA","VUBR","XAST"
"control_control_2021_high",0,0.0492420024963814,0,0,0,0,0,0,7.03206033507768e-05,0.0070555005361946,0,0.203929749717253,7.03206033507768e-05,7.03206033507768e-05,0,0,0,0,7.03206033507768e-05,7.03206033507768e-05,0,0,0,0,0,0,0.00704964048591537,0.0158572960556002,0,0,0,0,7.03206033507768e-05,0,0,7.03206033507768e-05,7.03206033507768e-05,0,7.03206033507768e-05,0,0,7.03206033507768e-05,0.0580320779152285,0,0,0,7.03206033507768e-05,0,0.00351603016753884,0,0,0,0,0,0,0.339882916195421,0,0.0304957016531202,0.105480905026165,0,7.03206033507768e-05,7.03206033507768e-05,0,0,0.0554126354404121,0,0,0,0,0,0,0,7.03206033507768e-05,0.123061055863859,0
"control_control_2021_low",0,0,0.0203935356339877,0,0,0,0,0,9.05373391076036e-05,0.39614612726532,0.376906942704954,0.0599809871587874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05373391076036e-05,0,0,0,0,0,9.05373391076036e-05,0,0,0.0203709012992108,0.00908391302379623,0,0,0,0,0.00452686695538018,0.00908391302379623,0,0,0,0,0,0,0,0,0,0,0,0.0135806008661405,9.05373391076036e-05,0,9.05373391076036e-05,0,0,0.00909900258031416,0.0181074678215207,0.0181074678215207,0,0,0.0271612017322811,0,0,0,0,0,0,0.0169983854174526,0,0
"control_dry_2021_high",0,0.0984258300256679,0,0,0,0,0,0,0,0.189131987108146,0,0,0,7.71967294318964e-05,0,0,0,0,7.71967294318964e-05,0,0,0,0,0,0,0,0.00389843483631077,0.00385983647159482,0.00385983647159482,0,0,0,7.71967294318964e-05,0,0,0.00389843483631077,7.71967294318964e-05,0,0,0,0,0,0.0328472083732719,0,0,0,0.00870393124344632,0.0463180376591378,7.71967294318964e-05,0,0,7.71967294318964e-05,0,0,0.0617573835455171,0.250889370653663,0,0,0.0154393458863793,0,0.0231590188295689,0.00645879302913533,0,0,0.0385983647159482,0,0,0,0,0,0,0,0,0.212291005937715,0
"control_dry_2021_low",0,0,0.0835116240227152,0,0,0,0,0,0,0.422330212914874,0.286325568077881,0.016750045732556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127255808034614,0,0,0,0,0,0,0,0,0.0143878597959135,0.145548830439589,0,0,0,9.54418560259602e-05,0,9.54418560259602e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601283692963549,9.54418560259602e-05,0.011930232003245,0,0,0,0,0,9.54418560259602e-05,0,0,0,9.54418560259602e-05,0,0
"control_wet_2021_high",0,0.0434672908986417,0,0,0,5.60687402755779e-05,0,0,5.60687402755779e-05,0.0224415132953,5.60687402755779e-05,0.00284548856898558,0,0.00843834541147447,0,0,0,0,5.60687402755779e-05,0,0,0,0.0112137480551156,0,0,0,0.00492003195918196,0.00705064408965392,0,0,0,0,5.60687402755779e-05,0,0.00283147138391668,5.60687402755779e-05,0.00843834541147447,0,5.60687402755779e-05,0,0,0,0.196259280544614,0,0,0,0,0,0.00142975287702724,0,0,5.60687402755779e-05,0,0,0,0.280343701377889,0,0.0654322199015994,0.112137480551156,0,0,0,0,0,0.0598253458740416,0.00284081617396261,0,0,0,0,0,0,0.00142975287702724,0.168206220826734,0
"control_wet_2021_low",0,0,0.0024390243902439,0,0,0,0,0,6.41848523748396e-05,0.304910141206675,0.494223363286265,0.0320924261874198,0.0962772785622594,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41848523748396e-05,0,0,0,0,0,6.41848523748396e-05,0,6.41848523748396e-05,0.00539152759948652,0.0104460847240051,0,0,0,0,0,0.00641848523748396,0,0,0,0,0,0,0,0.00320924261874198,0.00320924261874198,0,0,0,6.41848523748396e-05,0,6.41848523748396e-05,0,0,6.41848523748396e-05,0,0.0224646983311938,0,0,0.00320924261874198,0,0,0,0,0,0,0.0152599486521181,0,0
"+N fertilizer_control_2021_high",0,0.00509967937659365,0,0,0,0,0,0,0.000100983750031557,0.174222214741944,0,0.151526116922352,0.000100983750031557,0.000100983750031557,0,0,0,0.0100983750031557,0,0,0,0,0,0,0.00257508562580471,0,0.000100983750031557,0,0,0,0,0,0.00343344750107295,0,0,0.00509967937659365,0,0,0,0,0,0.000100983750031557,0.00762427312738259,0,0,0,0,0,0.000100983750031557,0,0.00509967937659365,0,0,0,0,0.580656562681455,0,0.000100983750031557,0.0201967500063115,0,0,0,0,0,0.0286120625089413,0.00504918750157787,0,0,0,0,0,0,0,0,0
"+N fertilizer_control_2021_low",0,0,0.00236176715754376,0,0,0,0,0,9.2618319903677e-05,0.297536352690562,0.0555709919422062,0.199129387792905,0,0,0,0,0,0,0,0,0,0,0,0,9.2618319903677e-05,0,0.00122719273872372,0,0,0,0,0,9.2618319903677e-05,0,0,0.0648791330925257,0.0683060109289618,0,0,0,0,0,0.0393859405390386,0,0,0,0,0,0,0,0.00699268315272761,0,0,0,0,0.259331295730295,0,9.2618319903677e-05,0,0,0.00236176715754376,0.00236176715754376,0,0,0,9.2618319903677e-05,0,0,0,0,0,0,9.2618319903677e-05,0,0
"+N fertilizer_dry_2021_high",0,0.0290859732893812,0,0,0,0,0,0,0,7.2714933223453e-05,0,0.0630196087936593,0,7.2714933223453e-05,0,0,0,0,0,0,0,0,7.2714933223453e-05,0,0,0,0.012761470780716,0.00367210412778438,0,0,0,0,0.0024723077295974,0,0,0,0,0,7.2714933223453e-05,0,0,0,0.133334949220738,0,0,0,7.2714933223453e-05,0,0.0072714933223453,0,0,0.0024723077295974,0,0,0.072714933223453,0.472647065952444,0,0,0.072714933223453,0,7.2714933223453e-05,0.0363574666117265,0,0,0.0545725573842015,7.2714933223453e-05,0,0,0,0,0,0,0.0072714933223453,0.0291223307559929,0
"+N fertilizer_dry_2021_low",0,0,0.00511119081779053,0,0,0,0,0,0,0.507756456241033,0.0185616929698709,0.129461083213773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135177546628407,0,0,0,0,0,0,0,0,0.0627690100430416,0.0638898852223816,0,0,0,0.0134505021520803,0,0.00346350430416069,0,0,0,0,0,0,0,0,0.0202430057388809,0,0,0,0.147955523672884,0,0,0,0,0.00346350430416069,0.00342987804878049,0.000134505021520803,0,0,0,0,0,0,0,0,0,0,0.00679250358680057,0
