"","AGSP","AICA","AMME","ANAR","APOC","ASSP","AST1","AST2","AST3","AVBA","BRDI","BRHO","BRMA","BRMI","CAAT","CAPY","CEGL","CESO","CHSU","CIQU","COAR","CRTI","CYEC","DACA","DICA","DIMU","ERBO","ERCI","ERMO","FIGA","GAAP","GAGR","GAPA","GAPH","GEDI","GEMO","HOMU","HYRA","HYSP","JUBU","LASE","LIBI","LOMU","LYHY","MAD1","MAD2","NAPU","PAVI","PLNO","SABI1","SABI2","SHAR","SIGA","SPRU","STPU","TACA","THGR","TRDU","TRER","TRGL","TRHI","TRLA","TRPR","TRSP","TRSU","UNBU","UNF1","UNF3","UNF4","UNF8","UNFR","UNGR","VISA","VUBR","XAST"
"control_control_2021_1",0,0.0873545546664803,0,0,0,0,0,0,0,6.98836437331843e-05,0,0.0209650931199553,0,6.98836437331843e-05,0,0,0,0,0,6.98836437331843e-05,0,0,0,0,0,0,0.0104825465599776,0.0314476396799329,0,0,0,0,0,0,0,6.98836437331843e-05,0,0,6.98836437331843e-05,0,0,6.98836437331843e-05,0.104825465599776,0,0,0,6.98836437331843e-05,0,0,0,0,0,0,0,0,0.384360040532513,0,0.0454243684265698,0.104825465599776,0,0,6.98836437331843e-05,0,0,0.0873894964883469,0,0,0,0,0,0,0,6.98836437331843e-05,0.122296376533072,0
"control_control_2021_2",0,0.013822556943424,0,0,0,0,0,0,9.1844232182219e-05,0.0137766348273328,0,0.505143277002204,9.1844232182219e-05,9.1844232182219e-05,0,0,0,0,9.1844232182219e-05,0,0,0,0,0,0,0,0.00463813372520206,9.1844232182219e-05,0,0,0,0,9.1844232182219e-05,0,0,9.1844232182219e-05,9.1844232182219e-05,0,0,0,0,0,0.013822556943424,0,0,0,9.1844232182219e-05,0,0.00459221160911095,0,0,0,0,0,0,0.413299044819985,0,9.1844232182219e-05,0,0,9.1844232182219e-05,0,0,0,0.0298952975753123,0,0,0,0,0,0,0,0,0,0
"control_control_2021_3",0,0,0.0288364492718797,0,0,0,0,0,0,0.841063103763157,9.61214975729322e-05,0.024030374393233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288364492718797,9.61214975729322e-05,0,0,0,0,0,0.0144182246359398,0,0,0,0,0,0,0,0,0,0,0,0,9.61214975729322e-05,0,0,0,0,0.00966021050607968,0.0192242995145864,0,0,0,0,0,0,0,0,0,0,0.0336425241505263,0,0
"control_control_2021_4",0,0,0.0142209203439478,0,0,0,0,0,9.44911650760654e-05,9.44911650760654e-05,0.786638949258244,0.10157800245677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44911650760654e-05,0,0,0,0,0,9.44911650760654e-05,0,0,0.0141736747614098,0.0141736747614098,0,0,0,0,0.00472455825380327,9.44911650760654e-05,0,0,0,0,0,0,0,0,0,0,0,0.0141736747614098,9.44911650760654e-05,0,9.44911650760654e-05,0,0,0,0,0.0188982330152131,0,0,0.0283473495228196,0,0,0,0,0,0,0.00240952470943967,0,0
"control_dry_2021_1",0,0.0317292437863564,0,0,0,0,0,0,0,0.0158646218931782,0,0,0,0.000105764145954521,0,0,0,0,0,0,0,0,0,0,0,0,0.00534108937070333,0,0,0,0,0,0,0,0,0.000105764145954521,0,0,0,0,0,0,0.0898995240613432,0,0,0,0.0106292966684294,0,0,0,0,0.000105764145954521,0,0,0.0846113167636171,0.396615547329455,0,0,0.0211528291909043,0,0,0.000105764145954521,0,0,0.0528820729772607,0,0,0,0,0,0,0,0,0.290851401374934,0
"control_dry_2021_2",0,0.201658077526328,0,0,0,0,0,0,0,0.425722608111136,0,0,0,8.96258122339233e-05,0,0,0,0,8.96258122339233e-05,0,0,0,0,0,0,0,0.00452610351781313,0.00448129061169617,0.00448129061169617,0,0,0,8.96258122339233e-05,0,0,0.00896258122339233,8.96258122339233e-05,0,0,0,0,0,8.96258122339233e-05,0,0,0,0.0112032265292404,0.053775487340354,8.96258122339233e-05,0,0,8.96258122339233e-05,0,0,0,0.246470983643289,0,0,0,0,0.026887743670177,0.0112032265292404,0,0,0,0,0,0,0,0,0,0,0,0,0
"control_dry_2021_3",0,0,0.0961795351322468,0,0,0,0,0,0,0.79615281859471,0,0.000106866150146941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160299225220411,0,0,0,0,0,0,0,0,0.0321132781191557,0.0587763825808175,0,0,0,0.000106866150146941,0,0.000106866150146941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106866150146941,0.000106866150146941,0,0,0,0,0,0,0.000106866150146941,0,0,0,0.000106866150146941,0,0
"control_dry_2021_4",0,0,0.100567912920019,0,0,0,0,0,0,0.165641268338855,0.354945575011832,0.0414103170847137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118315191670611,0,0,0,0,0,0,0,0,0.000118315191670611,0.295787979176526,0,0,0,0,0,0.000118315191670611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147893989588263,0,0.0147893989588263,0,0,0,0,0,0,0,0,0,0,0,0
"control_wet_2021_1",0,0.078509368784675,0,0,0,5.23395791897833e-05,0,0,5.23395791897833e-05,0.0392546843923375,0,0.00526012770857322,0,0.015701873756935,0,0,0,0,0,0,0,0,0.0104679158379567,0,0,0,0.0078509368784675,0.0131110645870407,0,0,0,0,0,0,0.00523395791897833,0,0,0,5.23395791897833e-05,0,0,0,0.261697895948917,0,0,0,0,0,0,0,0,5.23395791897833e-05,0,0,0,0.0523395791897833,0,0.0915942635821208,0.104679158379567,0,0,0,0,0,0.15701873756935,5.23395791897833e-05,0,0,0,0,0,0,0,0.15701873756935,0
"control_wet_2021_2",0,0.00491939019044372,0,0,0,0,0,0,9.74136671374994e-05,0.00491939019044372,9.74136671374994e-05,9.74136671374994e-05,0,9.74136671374994e-05,0,0,0,0,9.74136671374994e-05,0,0,0,0,0,0,0,0.00248404851200623,9.74136671374994e-05,0,0,0,0,9.74136671374994e-05,0,9.74136671374994e-05,9.74136671374994e-05,0.0146607569041937,0,0,0,0,0,0.267936291461692,0,0,0,0,0,0.00248404851200623,0,0,9.74136671374994e-05,0,0,0,0.681895669962496,0,9.74136671374994e-05,0,0,0,0,0,0,0.00979007354731869,0.0073547318688812,0,0,0,0,0,0,0.00248404851200623,0,0
