"","AGSP","AICA","AMME","ANAR","APOC","ASSP","AST1","AST2","AST3","AVBA","BRDI","BRHO","BRMA","BRMI","CAAT","CAPY","CEGL","CESO","CHSU","CIQU","COAR","CRTI","CYEC","DACA","DICA","DIMU","ERBO","ERCI","ERMO","FIGA","GAAP","GAGR","GAPA","GAPH","GEDI","GEMO","HOMU","HYRA","HYSP","JUBU","LASE","LIBI","LOMU","LYHY","MAD1","MAD2","NAPU","PAVI","PLNO","SABI1","SABI2","SHAR","SIGA","SPRU","STPU","TACA","THGR","TRDU","TRER","TRGL","TRHI","TRLA","TRPR","TRSP","TRSU","UNBU","UNF1","UNF3","UNF4","UNF8","UNFR","UNGR","VISA","VUBR","XAST"
"control_control_2019_low",0,0,0,0,0,0,0,0,9.50607993028875e-05,0.594129995643047,0.00953776686338971,0.218639838396641,9.50607993028875e-05,0,0,0,0.00480057036479582,0,0,0,0,0,0,0,0,0.00950607993028875,0.00598883035608191,0,0,0,0,0,0,0,0,0.00950607993028875,0.00952984513011447,0,0,0,0,0,0.0143066502950846,0,0,0,0,0,0,0,0,0,0,0,0,0.00950607993028875,0,0.0190121598605775,0,0,0.0427773596862994,0.00950607993028875,0,9.50607993028875e-05,0.00475303996514437,0,0,0,0,0,9.50607993028875e-05,0,0.038024319721155,9.50607993028875e-05,0
"control_control_2020_low",0,0,0.00925754489909276,0,0,0,0,0,0,0.283898043572178,0.432018761957662,0.185150897981855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185150897981855,0,0,0,0,6.17169659939517e-05,0,0,0,0.00617169659939517,0.00925754489909276,0,0,0,6.17169659939517e-05,6.17169659939517e-05,0.0123433931987903,0,0,0,0,0,0,0,0,0,0,0,0,0.00617169659939517,0,0,0,0,0.00617169659939517,0.00617169659939517,0,0,0,0,0,0,0,0,0,0,0.0246867863975807,0,0
"control_control_2021_low",0,0,0.0203935356339877,0,0,0,0,0,9.05373391076036e-05,0.39614612726532,0.376906942704954,0.0599809871587874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05373391076036e-05,0,0,0,0,0,9.05373391076036e-05,0,0,0.0203709012992108,0.00908391302379623,0,0,0,0,0.00452686695538018,0.00908391302379623,0,0,0,0,0,0,0,0,0,0,0,0.0135806008661405,9.05373391076036e-05,0,9.05373391076036e-05,0,0,0.00909900258031416,0.0181074678215207,0.0181074678215207,0,0,0.0271612017322811,0,0,0,0,0,0,0.0169983854174526,0,0
"control_dry_2019_low",0,0,0.00233553912028026,0,0,0,0,0,0,0.776223295857853,0.00915897694227555,0.0664025828314977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691502759141804,9.15897694227555e-05,0,0,0,0,0,0,0,0.00233553912028026,0.0228974423556889,0,0,0.0457948847113777,0,0,0.0149062349735535,0,0,0,0,0,0,0,0,9.15897694227555e-05,0,0,0,0.00457948847113777,0,0,0,0,0.0435051404758088,0,0,0,9.15897694227555e-05,0,0,0,0,0,0,0,9.15897694227555e-05,0.00457948847113777,0
"control_dry_2020_low",0,0,0.0227685875295401,0.090892564988184,0,0,0,0,0,0.318123977458644,0.22723141247046,0.0272677694964552,0.0045446282494092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182239592801309,0,0,0,0,0,0,0,0,0.136338847482276,0.109071077985821,0,0,0,0,0,0.0181785129976368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0892564988184e-05,0,0,0,0,0,0,0,0,0,0,0.0272677694964552,0,0
"control_dry_2021_low",0,0,0.0835116240227152,0,0,0,0,0,0,0.422330212914874,0.286325568077881,0.016750045732556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127255808034614,0,0,0,0,0,0,0,0,0.0143878597959135,0.145548830439589,0,0,0,9.54418560259602e-05,0,9.54418560259602e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601283692963549,9.54418560259602e-05,0.011930232003245,0,0,0,0,0,9.54418560259602e-05,0,0,0,9.54418560259602e-05,0,0
"control_wet_2019_low",0,0,8.32772368612809e-05,0,0,0,0,0,0.00832772368612809,0.441369355364789,0.0125124048384075,0.276896812563759,0.0166554473722562,0,0,0,8.32772368612809e-05,0,0,0,0,0,0,0,0,0,0.00832772368612809,8.32772368612809e-05,0,0,0,0,8.32772368612809e-05,0,0,0.0135533702991735,0.0249831710583843,0,0,0.00832772368612809,0,0,0.0187581976030035,0,0,0,0,0,0,0.00832772368612809,8.32772368612809e-05,8.32772368612809e-05,0,0,0,0.0333386538234661,0,0.0166554473722562,0,0,0.0353928256660444,0.00624579276459607,0,0.0166554473722562,0.0249831710583843,0,0,0,0,0,0.00832772368612809,0,8.32772368612809e-05,0.0197783437545542,0
"control_wet_2020_low",0,0,0,0,0,0,0,0,0,0.39434398062081,0.0985859951552025,0.0845022815616022,0.00563348543744014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169004563123204,0,0,0,0,0.00281674271872007,0.00563348543744014,0,0,0.0845022815616022,0.0563348543744014,0,0,0,0,0,0.0169004563123204,0,0,0,0,0,0,0,0.0281674271872007,0,0,0,0,0,5.63348543744014e-05,0,0,0,0.0873190242803222,0.00563348543744014,0,0,0,0,0,0,0,0,0,0,0.112669708748803,0,0
"control_wet_2021_low",0,0,0.0024390243902439,0,0,0,0,0,6.41848523748396e-05,0.304910141206675,0.494223363286265,0.0320924261874198,0.0962772785622594,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41848523748396e-05,0,0,0,0,0,6.41848523748396e-05,0,6.41848523748396e-05,0.00539152759948652,0.0104460847240051,0,0,0,0,0,0.00641848523748396,0,0,0,0,0,0,0,0.00320924261874198,0.00320924261874198,0,0,0,6.41848523748396e-05,0,6.41848523748396e-05,0,0,6.41848523748396e-05,0,0.0224646983311938,0,0,0.00320924261874198,0,0,0,0,0,0,0.0152599486521181,0,0
"+N fertilizer_control_2019_low",0,0,7.7269800386349e-05,0,0,0,0,0,7.7269800386349e-05,0.424983902124919,0.00776561493882807,0.135222150676111,7.7269800386349e-05,0,0,0,7.7269800386349e-05,0,0,0,7.7269800386349e-05,0,0,0,0.0019703799098519,7.7269800386349e-05,0.00583386992916935,0,0,0,0,0,0,0,0,0.0115904700579523,0.0154539600772698,0,0,0,0,0,0.0141918866709594,0,0,0,0,0,0,0,0.00386349001931745,0,0,0,0,0.0231809401159047,0,0.00776561493882807,0,0,0.0888602704443013,0,0,0,0.0231809401159047,0,0,0,0,0,0.0309079201545396,0,0,0.204764971023825,0
"+N fertilizer_control_2020_low",0,0,4.53453044937197e-05,0,0,0,0,0,0,0.0340089783702898,0.204053870221739,0.170044891851449,0,0,0,0,0,0,0,0,0,0,0,0,4.53453044937197e-05,0,0.00453453044937197,0,0,0,0,0,0,0,0,0.00453453044937197,0.0340089783702898,0,0,0,0,0,0.00906906089874394,0,0,0,0,0,0,0,0,0,0,0,0,0.147372239604589,0,0,0,0,0.00680179567405795,4.53453044937197e-05,0,0,0,0,0,0,0,0,0,0,0,0.385435088196617,0
"+N fertilizer_control_2021_low",0,0,0.00236176715754376,0,0,0,0,0,9.2618319903677e-05,0.297536352690562,0.0555709919422062,0.199129387792905,0,0,0,0,0,0,0,0,0,0,0,0,9.2618319903677e-05,0,0.00122719273872372,0,0,0,0,0,9.2618319903677e-05,0,0,0.0648791330925257,0.0683060109289618,0,0,0,0,0,0.0393859405390386,0,0,0,0,0,0,0,0.00699268315272761,0,0,0,0,0.259331295730295,0,9.2618319903677e-05,0,0,0.00236176715754376,0.00236176715754376,0,0,0,9.2618319903677e-05,0,0,0,0,0,0,9.2618319903677e-05,0,0
"+N fertilizer_dry_2019_low",0,0,8.72105699210744e-05,0,0,0,0,0,0,0.671521388392273,0.00436052849605372,0.11773426939345,0.0174421139842149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015261849736188,0,0,0,0,0,0,0,0,0.00224567217546767,0.00547246326254742,0,0,0,0,0,0.00436052849605372,0,0,0,0,0,0,0,0,8.72105699210744e-05,0,0,0,0.0218026424802686,0,0,0,0,0.0348842279684298,0.00436052849605372,0,8.72105699210744e-05,0.00436052849605372,0,0,0,0,0,0.00872105699210744,0,0,0.0872105699210744,0
"+N fertilizer_dry_2020_low",0,0,0.00245103987186643,0,0,0,0,0,0,0.0994976581648749,0.00485354430072561,0.24267721503628,0.00485354430072561,0,0,0,0,0,0,0,0,0.169874050525396,0,0,0,0,0.106777974615963,0,0,0,0,0,0,0,0,0.194141772029024,0.0558157594583445,0,0,0,4.85354430072561e-05,0,4.85354430072561e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0800834809619725,0,0,0,0,0,0,4.85354430072561e-05,0,0,0,0,0,0,0,0,0,0.024267721503628,0.0145606329021768,0
"+N fertilizer_dry_2021_low",0,0,0.00511119081779053,0,0,0,0,0,0,0.507756456241033,0.0185616929698709,0.129461083213773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135177546628407,0,0,0,0,0,0,0,0,0.0627690100430416,0.0638898852223816,0,0,0,0.0134505021520803,0,0.00346350430416069,0,0,0,0,0,0,0,0,0.0202430057388809,0,0,0,0.147955523672884,0,0,0,0,0.00346350430416069,0.00342987804878049,0.000134505021520803,0,0,0,0,0,0,0,0,0,0,0.00679250358680057,0
"+N fertilizer_wet_2019_low",0,0,8.02906521608222e-05,0,0,0,0,0,0.00802906521608222,0.572070896645858,0.00401453260804111,0.0200726630402055,0.00204741163010097,0,0,0,0,0,0,0,8.02906521608222e-05,0,0,0,0,0,0.00604187157510187,0,0,0,0,0,0,0,0,0.0221000020072663,0.0180854693992252,0,0,0,0,0,0.00405467793412152,0,0,0,0,0,0,0,0,8.02906521608222e-05,0,0,0,0.0321162608643289,0,0,0,0,0.128465043457315,0,0,0.0401453260804111,0.0802906521608222,0,0,0,0,0,0.00802906521608222,0,0,0.054196190208555,0
"+N fertilizer_wet_2020_low",0,0,0,0,0,0,0,0,0,0.258899676375405,0.275080906148867,0.0550161812297735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00647249190938511,0,0,0,0.0323624595469256,0.113268608414239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323624595469256,0,0,0,0,0.0970873786407767,0,0.0647249190938511,0,0,0,0,0,0,0,0,0,0,0.0647249190938511,0
"+N fertilizer_wet_2021_low",0,0,7.21015189386656e-05,0,0,0,0,0,0,0.359606325706595,0.0216304556815997,0.102744664487599,0,0,0,0,0,0,0,0,0,0,0,7.21015189386656e-05,0,0,7.21015189386656e-05,0,0,0,0,0,0.0108512786002692,0,7.21015189386656e-05,0.0144443376273794,0.111757354354932,0,0,0,0,0,0.0793116708325322,0,0,0,0,0,0,0,0,0,0,0,0,0.0216304556815997,0,0,0,0,0.00364112670640261,0,0.00364112670640261,0,0,0,0,7.21015189386656e-05,0,0,0,0,0.270380696019996,0,0
"+compost_control_2019_low",0,0,0.0142274494925543,0,0,0,0,0,0,0.244237882955515,0.00948496632836953,0.0711372474627715,0.00948496632836953,0,0,0.0189699326567391,0,0,0,0,0.00474248316418477,0,0,0,0,0,0.0118562079104619,0,0,0,0,0,0,0,0,0.0284548989851086,0.237124158209238,0,0,0,0,0,0.0758797306269563,0,0,0,0,0,0,0,0,9.48496632836953e-05,0,0,0,0.00711372474627715,0,0,0,0,0.120933320686712,0.0237124158209238,0,0.0474248316418477,0.0158398937683771,0,0,0,0,0,0,0,0,0.0592810395523096,0
"+compost_control_2020_low",0,0,0.0504939626783754,0,0,0,0,0,0,0.00439077936333699,0.285400658616905,0.013172338090011,0,0,0,0.013172338090011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439077936333699,0,0,0.0120746432491767,0.21953896816685,0,0,0,0,0,0.26344676180022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111964873765093,0.00439077936333699,0,0,0,0,0,0,0,0,0,0,0.00878155872667398,0.00878155872667398,0
"+compost_control_2021_low",0,0,0.0429033709791484,0,0,0,0,0,0.0257163062812078,0.0664337912264535,0.087906906971262,0.00966504511068727,0,0,0,0.0342884083749437,0,0,0,0,0,0,0,0,0,0,0.002207316289137,0,0,0,0,0,0.0428605104686797,0,0,0.0321882433619784,0.477894691725778,0,0,0,0.00642907657030195,0,0.0450463965025823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985791740779633,0,0.0171442041874719,0,0,0,0,0,0,0,0,0,0.0107365578724043,0,0
"+compost_dry_2019_low",0,0,0.00263166947607417,0,0,0,0,0,0,0.495373077849255,0.00516013622759641,0.0696618390725515,0.00691458254497919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232206130241838,0.0103202724551928,0,0,0,0,0,0,0,0.00863462795417799,0.107072826722625,0,0,0,0,0,0.0412810898207713,0,0,0,0,0,0,0,0,0,0,0,0,0.0206405449103856,0,0.0103718738174688,0,0,0.0438611579345695,0.00521173758987237,0,0.0516013622759641,0.012900340568991,0,0,0,0,0,0,0,0.0567614985035605,0.0283807492517802,0
"+compost_dry_2020_low",0,0,0.00841928015154704,0,0,0,0,0,0,0.210524100189434,8.41928015154704e-05,0,0.044201220795622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168385603030941,0,0,0,0,0,0.0252578404546411,0,0,0,0,0,0,0,0,0,0,0,0,0.231530204167544,8.41928015154704e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210482003788676,0.252578404546411,0
"+compost_dry_2021_low",0,0,0.112210956598405,0,0,0,0,0,8.0150683284575e-05,0.029415300765439,0.260489720674869,8.0150683284575e-05,0.016030136656915,0,0,8.0150683284575e-05,0,0,0,0,0,0,0,0,0,0,0.00805514367009979,0,0,0,0,0,0,0,0,0.00404760950587104,0.0280527391496012,0,0,0,0.00400753416422875,0,0.0561455536408448,0,0,0,0,0,0,0,0,0,0,0,0,0.200376708211437,0,8.0150683284575e-05,0,0,8.0150683284575e-05,8.0150683284575e-05,8.0150683284575e-05,0,0,0,0,0,0,0,0,0,8.0150683284575e-05,0.280527391496012,0
"+compost_wet_2019_low",0,0,8.20591372849367e-05,0,0,8.20591372849367e-05,0,0,0.0109959243961815,0.153860882409256,0.0041439864328893,0.342596898164611,8.20591372849367e-05,0,0,0.00820591372849367,0,0,0,0,0,0,0,0,8.20591372849367e-05,0,0.00617495008069149,0,0,0,0,0,0,0,0,0.00925216772887661,0.098470964741924,0,0,0,0,0,0.0560737438113734,0,0,0,0,0,0,0,0,0.0041439864328893,0,0,0,0.0123088705927405,0,0,0,0,0.0718017451243196,0.00820591372849367,0,0.0164118274569873,0.0164118274569873,0,8.20591372849367e-05,0,0,0,0.0328236549139747,0,0.114882792198911,0.0328236549139747,0
"+compost_wet_2020_low",0,0,0,0,0,0,0,0,0,0.108008023453171,0.432032093812683,0.154297176361673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061718870544669,0,0,0.0154605770714396,0.108008023453171,0,0,0,6.1718870544669e-05,0,0.0462891529085018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061718870544669,0.0925783058170036,0,0,0,0,0,0,0,0,0,0,0.0308594352723345,0,6.1718870544669e-05
"+compost_wet_2021_low",0,0,0.0110137323582431,0,0,0,0,0,8.79339908841763e-05,0.0549807278003312,0.0762094587662861,0.148388609617048,0,0,0,8.79339908841763e-05,0,0,0,0,0,0,0,0,8.79339908841763e-05,0,8.79339908841763e-05,0,0,0,0,0,0.00439669954420881,0,0,0.0293699529553149,0.4990253982677,0,0,0,0,0,0.109961455600662,0,0,0,0,0,0,0,0,8.79339908841763e-05,0,0,0,0.0044406665396509,0,8.79339908841763e-05,0,0,0.00883736608385972,0.0022423167675465,0.010991748860522,0,0,0,0,0,0,0,0,0,0.0175867981768353,0.0220274647164862,0
