"","AGSP","AICA","AMME","ANAR","APOC","ASSP","AST1","AST2","AST3","AVBA","BRDI","BRHO","BRMA","BRMI","CAAT","CAPY","CEGL","CESO","CHSU","CIQU","COAR","CRTI","CYEC","DACA","DICA","DIMU","ERBO","ERCI","ERMO","FIGA","GAAP","GAGR","GAPA","GAPH","GEDI","GEMO","HOMU","HYRA","HYSP","JUBU","LASE","LIBI","LOMU","LYHY","MAD1","MAD2","NAPU","PAVI","PLNO","SABI1","SABI2","SHAR","SIGA","SPRU","STPU","TACA","THGR","TRDU","TRER","TRGL","TRHI","TRLA","TRPR","TRSP","TRSU","UNBU","UNF1","UNF3","UNF4","UNF8","UNFR","UNGR","VISA","VUBR","XAST"
"control_control_2019_high",0,0.00724808378784859,0,0,0.0193523837135557,0.181202094696215,0.306835547018924,0.00724808378784859,0.0181202094696215,7.24808378784859e-05,0,0.00184826136590139,0,0.00845609775249002,0.00362404189392429,0,0.00726620399731821,0,0.11778136155254,7.24808378784859e-05,0,7.24808378784859e-05,0,0,0,0,0.0380524398862051,0.00246434848786852,0,7.24808378784859e-05,7.24808378784859e-05,0,0,0,0,0,0,0,0,0.00726620399731821,0,0,0.011778136155254,0.00724808378784859,0,0,0.00456629278634461,0,7.24808378784859e-05,0,0,7.24808378784859e-05,0,0,0,7.24808378784859e-05,0,0.00545418305035606,0,0,0.0217442513635458,0.0242085998514143,0,0,0.188450178484063,0,0,0,0,0,7.24808378784859e-05,7.24808378784859e-05,0,0.00906010473481073,0
"control_control_2019_low",0,0,0,0,0,0,0,0,9.50607993028875e-05,0.594129995643047,0.00953776686338971,0.218639838396641,9.50607993028875e-05,0,0,0,0.00480057036479582,0,0,0,0,0,0,0,0,0.00950607993028875,0.00598883035608191,0,0,0,0,0,0,0,0,0.00950607993028875,0.00952984513011447,0,0,0,0,0,0.0143066502950846,0,0,0,0,0,0,0,0,0,0,0,0,0.00950607993028875,0,0.0190121598605775,0,0,0.0427773596862994,0.00950607993028875,0,9.50607993028875e-05,0.00475303996514437,0,0,0,0,0,9.50607993028875e-05,0,0.038024319721155,9.50607993028875e-05,0
"control_control_2020_high",0,0.163230240549828,0,0,0,0,0,0,0,0.0171821305841924,0,0.13745704467354,0,0,0.0343642611683849,0,0,0,0,0,0,0,0,0,0,0,0.0515463917525773,0,0,0,0,0,0,0,0,0,0,0,0.103092783505155,0,0,0,0.223367697594502,0,0.0103092783505155,0,0.0206185567010309,0,0,0,0,0,0.0103092783505155,0,0,0,0,0.00687285223367698,0,0,0.128865979381443,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0.0893470790378007,0
"control_control_2020_low",0,0,0.00925754489909276,0,0,0,0,0,0,0.283898043572178,0.432018761957662,0.185150897981855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185150897981855,0,0,0,0,6.17169659939517e-05,0,0,0,0.00617169659939517,0.00925754489909276,0,0,0,6.17169659939517e-05,6.17169659939517e-05,0.0123433931987903,0,0,0,0,0,0,0,0,0,0,0,0,0.00617169659939517,0,0,0,0,0.00617169659939517,0.00617169659939517,0,0,0,0,0,0,0,0,0,0,0.0246867863975807,0,0
"control_control_2021_high",0,0.0492420024963814,0,0,0,0,0,0,7.03206033507768e-05,0.0070555005361946,0,0.203929749717253,7.03206033507768e-05,7.03206033507768e-05,0,0,0,0,7.03206033507768e-05,7.03206033507768e-05,0,0,0,0,0,0,0.00704964048591537,0.0158572960556002,0,0,0,0,7.03206033507768e-05,0,0,7.03206033507768e-05,7.03206033507768e-05,0,7.03206033507768e-05,0,0,7.03206033507768e-05,0.0580320779152285,0,0,0,7.03206033507768e-05,0,0.00351603016753884,0,0,0,0,0,0,0.339882916195421,0,0.0304957016531202,0.105480905026165,0,7.03206033507768e-05,7.03206033507768e-05,0,0,0.0554126354404121,0,0,0,0,0,0,0,7.03206033507768e-05,0.123061055863859,0
"control_control_2021_low",0,0,0.0203935356339877,0,0,0,0,0,9.05373391076036e-05,0.39614612726532,0.376906942704954,0.0599809871587874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05373391076036e-05,0,0,0,0,0,9.05373391076036e-05,0,0,0.0203709012992108,0.00908391302379623,0,0,0,0,0.00452686695538018,0.00908391302379623,0,0,0,0,0,0,0,0,0,0,0,0.0135806008661405,9.05373391076036e-05,0,9.05373391076036e-05,0,0,0.00909900258031416,0.0181074678215207,0.0181074678215207,0,0,0.0271612017322811,0,0,0,0,0,0,0.0169983854174526,0,0
"control_dry_2019_high",0.0084841628959276,0.108597285067873,0,0,0.00678733031674208,0.101809954751131,0.0497737556561086,0.0135746606334842,0.00342760180995475,6.78733031674208e-05,0,6.78733031674208e-05,0,0.00850113122171946,0.00510746606334842,0,0.00682126696832579,0,0.0135746606334842,6.78733031674208e-05,0,6.78733031674208e-05,0,0,6.78733031674208e-05,0,0.0356334841628959,6.78733031674208e-05,0,6.78733031674208e-05,0,0,0,0,0,6.78733031674208e-05,0,0,0,0.00904977375565611,0,0,0.00680995475113122,0.0203619909502262,0,0,0.00936651583710407,0,0.00339366515837104,0,0,0.00117647058823529,0,0,0.00678733031674208,0.00682126696832579,0,0.0237556561085973,0.39027149321267,0,0,0.0136085972850679,0,0,0.122171945701357,0,0,0,0,0,0.00682126696832579,0.00678733031674208,0,0.0101809954751131,0
"control_dry_2019_low",0,0,0.00233553912028026,0,0,0,0,0,0,0.776223295857853,0.00915897694227555,0.0664025828314977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691502759141804,9.15897694227555e-05,0,0,0,0,0,0,0,0.00233553912028026,0.0228974423556889,0,0,0.0457948847113777,0,0,0.0149062349735535,0,0,0,0,0,0,0,0,9.15897694227555e-05,0,0,0,0.00457948847113777,0,0,0,0,0.0435051404758088,0,0,0,9.15897694227555e-05,0,0,0,0,0,0,0,9.15897694227555e-05,0.00457948847113777,0
"control_dry_2020_high",0,0.31306974088875,0,0,0,0,0,0,0,0.018434282978214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644555348888602,0,0,0,0,0,0,0,0,0,0,0,0.0368317342222059,0,0,0,0.0552476013333088,0,0.0552476013333088,0,0.211782471777684,0,0,0,0,0,0,0,0.0184158671111029,0.0699802950221911,0,0,0,0,0.0460396677777573,0.0184158671111029,0,0,0,0,0,0,0,0,0,0,0,0.0920793355555146,0
"control_dry_2020_low",0,0,0.0227685875295401,0.090892564988184,0,0,0,0,0,0.318123977458644,0.22723141247046,0.0272677694964552,0.0045446282494092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182239592801309,0,0,0,0,0,0,0,0,0.136338847482276,0.109071077985821,0,0,0,0,0,0.0181785129976368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0892564988184e-05,0,0,0,0,0,0,0,0,0,0,0.0272677694964552,0,0
