"","AGSP","AICA","AMME","ANAR","APOC","ASSP","AST1","AST2","AST3","AVBA","BRDI","BRHO","BRMA","BRMI","CAAT","CAPY","CEGL","CESO","CHSU","CIQU","COAR","CRTI","CYEC","DACA","DICA","DIMU","ERBO","ERCI","ERMO","FIGA","GAAP","GAGR","GAPA","GAPH","GEDI","GEMO","HOMU","HYRA","HYSP","JUBU","LASE","LIBI","LOMU","LYHY","MAD1","MAD2","NAPU","PAVI","PLNO","SABI1","SABI2","SHAR","SIGA","SPRU","STPU","TACA","THGR","TRDU","TRER","TRGL","TRHI","TRLA","TRPR","TRSP","TRSU","UNBU","UNF1","UNF3","UNF4","UNF8","UNFR","UNGR","VISA","VUBR","XAST"
"control_control_2019_1",0,0.00665225345085648,0,0,0.0266090138034259,0.166306336271412,0.24613337768169,0.00665225345085648,0.0199567603525694,0,0,0,0,0.00332612672542824,0.00332612672542824,0,0.00997838017628472,0,0.13304506901713,6.65225345085648e-05,0,6.65225345085648e-05,0,0,0,0,0.0199567603525694,6.65225345085648e-05,0,6.65225345085648e-05,0,0,0,0,0,0,0,0,0,0.00335938799268252,0,0,0.0166306336271412,0.00665225345085648,0,0,0.0016963246299684,0,0,0,0,6.65225345085648e-05,0,0,0,0,0,0.00335938799268252,0,0,0.0199567603525694,0.0665225345085648,0,0,0.229502744054548,0,0,0,0,0,6.65225345085648e-05,0,0,0.00997838017628472,0
"control_control_2019_2",0,0.0106275572559647,0,0,0.000106275572559647,0,0.478240076518412,0,0.0212551145119294,0.000106275572559647,0,0.002710027100271,0,0.0159413358839471,0,0,0.00536691641426218,0,0.132844465699559,0,0,0,0,0,0,0,0.0797066794197353,0.0106275572559647,0,0,0.000106275572559647,0,0,0,0,0,0,0,0,0.0159413358839471,0,0,0.00797066794197353,0,0,0,0.0106806950422445,0,0.000106275572559647,0,0,0.000106275572559647,0,0,0,0.000106275572559647,0,0.0106275572559647,0,0,0,0.000106275572559647,0,0,0.185982251979382,0,0,0,0,0,0,0.000106275572559647,0,0.0106275572559647,0
"control_control_2019_3",0,0,0,0,0,0,0,0,0,0.820206915835586,0.00932053313449529,0.0279615994034859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116506664181191,0,0,0,0,0,0,0,0,0.00932053313449529,0.0139807997017429,0,0,0,0,0,9.32053313449529e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00932053313449529,0,0,0,0,0.0466026656724765,0.00932053313449529,0,9.32053313449529e-05,0.00466026656724765,0,0,0,0,0,9.32053313449529e-05,0,0.0372821325379812,9.32053313449529e-05,0
"control_control_2019_4",0,0,0,0,0,0,0,0,0.000107463328139272,0.397614314115308,0.0108000644779969,0.462092310998872,0.000107463328139272,0,0,0,0.00542689807103326,0,0,0,0,0,0,0,0,0.0107463328139272,0.000107463328139272,0,0,0,0,0,0,0,0,0,0.00542689807103326,0,0,0,0,0,0.0322389984417817,0,0,0,0,0,0,0,0,0,0,0,0,0.0107463328139272,0,0.0214926656278545,0,0,0.042985331255709,0,0,0,0,0,0,0,0,0,0,0,0,0.000107463328139272,0
"control_control_2020_1",0,0.102459016393443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614754098360656,0,0,0,0,0,0,0,0,0,0,0,0.184426229508197,0,0,0,0.266393442622951,0,0,0,0.0040983606557377,0,0,0,0,0,0,0,0,0,0,0.00819672131147541,0,0,0.163934426229508,0.0040983606557377,0,0,0,0,0,0,0,0,0,0,0,0.204918032786885,0
"control_control_2020_2",0,0.334928229665072,0,0,0,0,0,0,0,0.0239234449760766,0,0.191387559808612,0,0,0.0478468899521531,0,0,0,0,0,0,0,0,0,0,0,0.0717703349282297,0,0,0,0,0,0,0,0,0,0,0,0.0717703349282297,0,0,0,0,0,0.0143540669856459,0,0.0526315789473684,0,0,0,0,0,0.0143540669856459,0,0,0,0,0,0,0,0.167464114832536,0,0,0,0,0,0,0,0,0,0,0,0,0.00956937799043062,0
"control_control_2020_3",0,0,0.0101010101010101,0,0,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0,0,0,0,0.0101010101010101,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0.0404040404040404,0,0
"control_control_2020_4",0,0,0.0176944174113067,0,0,0,0,0,0,0.0176944174113067,0.619304609395736,0.265416261169601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265416261169601,0,0,0,0,8.84720870565337e-05,0,0,0,0.00884720870565336,0.0176944174113067,0,0,0,8.84720870565337e-05,8.84720870565337e-05,0.0176944174113067,0,0,0,0,0,0,0,0,0,0,0,0,0.00884720870565336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"control_control_2021_1",0,0.0873545546664803,0,0,0,0,0,0,0,6.98836437331843e-05,0,0.0209650931199553,0,6.98836437331843e-05,0,0,0,0,0,6.98836437331843e-05,0,0,0,0,0,0,0.0104825465599776,0.0314476396799329,0,0,0,0,0,0,0,6.98836437331843e-05,0,0,6.98836437331843e-05,0,0,6.98836437331843e-05,0.104825465599776,0,0,0,6.98836437331843e-05,0,0,0,0,0,0,0,0,0.384360040532513,0,0.0454243684265698,0.104825465599776,0,0,6.98836437331843e-05,0,0,0.0873894964883469,0,0,0,0,0,0,0,6.98836437331843e-05,0.122296376533072,0
"control_control_2021_2",0,0.013822556943424,0,0,0,0,0,0,9.1844232182219e-05,0.0137766348273328,0,0.505143277002204,9.1844232182219e-05,9.1844232182219e-05,0,0,0,0,9.1844232182219e-05,0,0,0,0,0,0,0,0.00463813372520206,9.1844232182219e-05,0,0,0,0,9.1844232182219e-05,0,0,9.1844232182219e-05,9.1844232182219e-05,0,0,0,0,0,0.013822556943424,0,0,0,9.1844232182219e-05,0,0.00459221160911095,0,0,0,0,0,0,0.413299044819985,0,9.1844232182219e-05,0,0,9.1844232182219e-05,0,0,0,0.0298952975753123,0,0,0,0,0,0,0,0,0,0
