Loc.code,Province,EcoRegion,Site,SiteName,Aspect_NS,Soil,Loc.code,y,x,elev,Aspect,Slope,Moss,Rocks,Bare Soil,Burrow,Litter Depth,Scat,Shrub Cover,Herb Cover,Mean shrub ht (m,max shrub ht (m),OM,ENR,Bray_P,Olsen_P,PH,K,S,MG,CA,NA,H,CEC,CaMgRatio,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,ndvi_mar,ndvi_aug
klbcnns,kl,26,bc,Bluff Creek,n,ns,klbcnns,41.26280,-123.61110,297,20.7,20.4,15.29,0.86,0,0,8.57,0,12.14,2.29,0.06,0.1,6.4,157.6,134.6,48.8,5.2,163.7,9.9,82.9,820.3,19.7,2.8,8.1,9.9,133,142,49,5199,305,16,289,72,199,201,69,1397,254,5,78,716,39,49,697,213,209
klbcnse,kl,26,bc,Bluff Creek,n,se,klbcnse,41.23793,-123.66677,437,57,25.4,11.6,0.76,1.36,24.86,4.86,0,90,32.93,33.57,35.43,6.8,167,14.5,20.5,6,49,2.5,489.8,919,11.4,1.6,10.3,1.88,115,145,50,5166,287,0,287,56,181,183,53,1441,258,6,77,736,43,56,698,216,231
klbcsns,kl,26,bc,Bluff Creek,s,ns,klbcsns,41.26093,-123.61358,216,225.4,33.4,35.29,20.57,1,0,2.64,0,7.71,21,0.21,0.26,4.1,112.4,114.7,12.4,5.2,88.5,10.14,43.4,440.2,14.6,1.5,4.3,10.14,133,142,49,5199,305,16,289,72,199,201,69,1397,254,5,78,716,39,49,697,219,213
klbcsse,kl,26,bc,Bluff Creek,s,se,klbcsse,41.23730,-123.66670,447,164,16,1.06,0.27,0,0.36,8.67,0,82.25,9.19,19.9,38.86,6.7,163,12.2,10.1,6.1,54.7,0,599.9,869.7,11.3,1.5,11,1.45,115,145,50,5166,287,0,287,56,181,183,53,1441,258,6,77,736,43,56,698,216,231
klbenns,kl,40,be,Beegum,n,ns,klbenns,40.32437,-123.01373,1058,9,29.3,0,0,0,0,9.14,0,3.57,1.71,3.29,4,3.7,103.8,92.5,34.8,6.6,130.3,10.67,86.2,919.6,14.8,0.4,6.1,10.67,100,161,48,5979,299,-30,329,36,179,180,31,1098,190,4,79,555,32,45,539,184,209
klbense,kl,40,be,Beegum,n,se,klbense,40.31165,-123.01037,1134,34,11.4,0.71,7.93,1.87,1.01,2.1,0,50.8,3.19,6.19,13.03,6.4,158,12.5,12.8,6.9,72.3,1.7,1022,722.3,7.4,0.2,12.4,0.71,100,161,49,5974,298,-29,327,36,179,180,32,1102,191,4,79,556,32,45,541,82,143
klbesns,kl,40,be,Beegum,s,ns,klbesns,40.32033,-123.01330,1144,175.3,24,0,1,4.29,0,7.86,0,0,1,0,0,4.7,123.4,10.9,8,6.2,356.8,11.71,97,1136,15.5,1,8.5,11.71,100,161,48,5979,299,-30,329,36,179,180,31,1098,190,4,79,555,32,45,539,163,201
klbesse,kl,40,be,Beegum,s,se,klbesse,40.31107,-123.01120,1141,186,13.4,2.09,17.79,11.33,0.8,1.84,0.14,53,0.21,1.37,1.37,7.4,179,12.4,16,6.7,74,0,1098,610.3,6.2,0.6,12.9,0.56,100,161,49,5974,298,-29,327,36,179,180,32,1102,191,4,79,556,32,45,541,82,143
klbnnns,kl,60,bn,Brannan Mountain,n,ns,klbnnns,40.96958,-123.68043,1022,66.7,21.6,0,2.86,11.14,0,4.14,0,0,4,0,0,8.4,197.8,6.2,16.9,5.4,200.4,4.46,102.5,456.8,17.6,1.5,5.2,4.46,89,143,50,5015,259,-24,283,35,154,157,31,1420,249,6,75,714,47,62,668,101,230
klbnnse,kl,60,bn,Brannan Mountain,n,se,klbnnse,40.96495,-123.69380,1100,141,16.6,14.66,12.71,0.14,0,1.7,0,61.5,19.29,2.56,2.56,12.6,281,1,4.8,6.6,51.5,13.5,909.3,569.5,8.3,0.7,11.2,0.63,88,142,50,4931,256,-24,280,35,153,154,31,1437,252,7,76,722,48,63,676,103,216
