Latin.name,Species,SPPcode,Category,Duration,Growth_Habit,Family,Soil,Height.cm,SLA,LWC,CN,wood_density,Seed mass,DispersalSyndrome,Wind,Unassisted,Adhesive,Animal,Ant,Water,Tumbling,Bird,Mammal,Ballistic
abies_concolor,abies_concolor,ABICON,Gymnosperm,Perennial,Tree,pinaceae,n,2260,31.8,0.5082,47.1,0.6,28.6,WindBirdMammal,1,0,0,0,0,0,0,1,1,0
abies_grandis,abies_grandis,ABIGRA,Gymnosperm,Perennial,Tree,pinaceae,n,1830,35.8,0.4888,65.6,0.6,20.5,No_Data,,,,,,,,,,
abies_magnifica_var_shastensis,abies_magnifica,ABIMAG,Gymnosperm,Perennial,Tree,pinaceae,n,1960,47.9,0.6224,54.7,0.59,,Wind,1,0,0,0,0,0,0,0,0,0
abies_procera,abies_procera,ABIPRO,Gymnosperm,Perennial,Tree,pinaceae,n,13.8,25.5,0.5363,50.1,0.51,35.3,Wind,1,0,0,0,0,0,0,0,0,0
acer_circinatum,acer_circinatum,ACECIR,Dicot,Perennial,"Tree, Shrub, Vine",sapindaceae,n,316.2,493.5,0.7744,12.8,0.58,75.7,Wind,1,0,0,0,0,0,0,0,0,0
acer_glabrum_ssp_torreyii,acer_glabrum,ACEGLA,Dicot,Perennial,"Tree, Shrub",sapindaceae,n,25.9,159.6,0.6884,16.8,0.58,,Wind,1,0,0,0,0,0,0,0,0,0
acer_macrophyllum,acer_macrophyllum,ACEMAC,Dicot,Perennial,Tree,sapindaceae,n,1120,270.8,0.7045,12.8,0.45,137.2,UnassistedWindAdhesive,1,1,1,0,0,0,0,0,0,0
achillea_millefolium,achillea_millefolium,ACHMIL,Dicot,Perennial,Forb/herb,asteraceae,n,77.2,138.1,0.5983,18.2,,0.2,WindUnassisted,1,1,0,0,0,0,0,0,0,0
achillea_millefolium,achillea_millefolium,ACHMIL,Dicot,Perennial,Forb/herb,asteraceae,s,16.2,264.4,0.7165,15.7,,0.2,WindUnassisted,1,1,0,0,0,0,0,0,0,0
achlys_triphylla,achlys_triphylla,ACHTRI,Dicot,Perennial,Forb/herb,berberidaceae,n,20.4,479.5,0.8545,14.4,,6.18,Ant,0,0,0,0,1,0,0,0,0,0
achnatherum_lemmonii_ssp_lemmonii,achnatherum_lemmonii,ACHLEM,Monocot,Perennial,Graminoid,poaceae,s,46.7,90.5,0.5464,31.4,,,AdhesiveWind,1,0,1,0,0,0,0,0,0,0
achyrachaena_mollis,achyrachaena_mollis,ACHMOL,Dicot,Annual,Forb/herb,asteraceae,n,17.4,248.4,0.8412,19.3,,4.45,AdhesiveWind,1,0,1,0,0,0,0,0,0,0
achyrachaena_mollis,achyrachaena_mollis,ACHMOL,Dicot,Annual,Forb/herb,asteraceae,s,11.1,193.9,0.8601,16.7,,4.45,AdhesiveWind,1,0,1,0,0,0,0,0,0,0
actaea_rubra,actaea_rubra,ACTRUB,Dicot,Perennial,Forb/herb,ranunculaceae,n,29.9,471.4,0.8425,14.7,,5.7,BirdMammal,0,0,0,0,0,0,0,1,1,0
adenocaulon_bicolor,adenocaulon_bicolor,ADEBIC,Dicot,Perennial,Forb/herb,asteraceae,n,23.1,388.5,0.877,17.8,,5.54,AdhesiveWind,1,0,1,0,0,0,0,0,0,0
adenostoma_fasciculatum,adenostoma_fasciculatum,ADEFAS,Dicot,Perennial,Shrub,rosaceae,n,225,33.1,0.4779,39.6,0.77,1,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
adenostoma_fasciculatum,adenostoma_fasciculatum,ADEFAS,Dicot,Perennial,Shrub,rosaceae,s,187,37.5,0.4425,36,,1,AdhesiveUnassisted,0,1,1,0,0,0,0,0,0,0
adiantum_jordanii,adiantum_jordanii,ADIJOR,Fern,Perennial,Forb/herb,pteridaceae,n,29.5,602.9,0.767,19,,,WindWater,1,0,0,0,0,1,0,0,0,0
adiantum_jordanii,adiantum_jordanii,ADIJOR,Fern,Perennial,Forb/herb,pteridaceae,s,20.6,244.8,0.6473,29.1,,,WindWater,1,0,0,0,0,1,0,0,0,0
aegilops_triuncialis,aegilops_triuncialis,AEGTRI,Monocot,Annual,Graminoid,poaceae,n,54.5,188.8,0.5694,50.1,,18,Unassisted,0,1,0,0,0,0,0,0,0,0
aegilops_triuncialis,aegilops_triuncialis,AEGTRI,Monocot,Annual,Graminoid,poaceae,s,49,242,0.6738,63.2,,18,Unassisted,0,1,0,0,0,0,0,0,0,0
aesculus_californica,aesculus_californica,AESCAL,Dicot,Perennial,"Tree, Shrub",sapindaceae,n,6.3,233,0.7884,14.2,0.45,36756.68,UnassistedWaterAnimal,0,1,0,1,0,1,0,0,0,0
agastache_urticifolia,agastache_urticifolia,AGAURI,Dicot,Perennial,"Subshrub, Forb/herb",lamiaceae,n,56.9,468.8,0.8519,9.8,,0.4,No_Data,,,,,,,,,,
agoseris_grandiflora,agoseris_grandiflora,AGOGRA,Dicot,Perennial,Forb/herb,asteraceae,n,14.5,186.7,0.85,17.3,,1.21,Wind,1,0,0,0,0,0,0,0,0,0
agoseris_grandiflora,agoseris_grandiflora,AGOGRA,Dicot,Perennial,Forb/herb,asteraceae,s,23.9,159.9,0.8103,19.3,,1.21,Wind,1,0,0,0,0,0,0,0,0,0
agoseris_heterophylla,agoseris_heterophylla,AGOHET,Dicot,Annual,Forb/herb,asteraceae,n,30.4,197.4,0.8046,19.2,,0.73,Wind,1,0,0,0,0,0,0,0,0,0
