species,rep,no_seeds,drymass_g,perseedwt
avefat,3,30,0.8219,0.027396667
avefat,1,30,0.8574,0.02858
avefat,2,30,0.9256,0.030853333
branig,1,30,0.0862,0.002873333
branig,2,30,0.0929,0.003096667
branig,3,30,0.0873,0.00291
branig,1,30,0.0958,0.003193333
branig,1a,30,0.0926,0.003086667
branig,2a,30,0.0918,0.00306
brocar,3,28,0.1993,0.007117857
brocar,2,30,0.2325,0.00775
brocar,1,30,0.2262,0.00754
brohor,3,30,0.0444,0.00148
brohor,2,30,0.0532,0.001773333
brohor,1,30,0.049,0.001633333
claarm,1,50,0.0253,0.000506
claarm,3a,30,0.0149,0.000496667
claarm,2a,30,0.0154,0.000513333
claarm,1a,29,0.0144,0.000496552
claarm,2,50,0.0261,0.000522
claarm,3,50,0.0259,0.000518
elygla,3,30,0.0975,0.00325
elygla,2,31,0.133,0.004290323
elygla,1,29,0.1044,0.0036
erobot,2,30,0.6132,0.02044
erobot,3,30,0.551,0.018366667
erobot,1,30,0.5214,0.01738
esccal,3,30,0.0452,0.001506667
esccal,2,30,0.0402,0.00134
esccal,1,30,0.0527,0.001756667
lascal,1,100,0.0178,0.000178
lascal,2,100,0.0171,0.000171
lascal,3,100,0.0161,0.000161
lascal,4,23,0.0039,0.000169565
lolmul,3,30,0.0907,0.003023333
lolmul,2,30,0.0869,0.002896667
lolmul,1,30,0.0983,0.003276667
lupbic,2,30,0.1082,0.003606667
lupbic,3,30,0.1117,0.003723333
lupbic,1,30,0.1203,0.00401
lupsuc,3,30,0.8836,0.029453333
lupsuc,2,30,0.9091,0.030303333
lupsuc,1,30,0.9067,0.030223333
melcal,1,30,0.039,0.0013
melcal,2,30,0.0398,0.001326667
melcal,3,30,0.0371,0.001236667
stipul,3,27,0.1141,0.004225926
stipul,2,32,0.1406,0.00439375
stipul,1,28,0.1082,0.003864286
taecap,3,30,0.1134,0.00378
taecap,2,30,0.1118,0.003726667
taecap,1,30,0.1141,0.003803333
trihir,1,30,0.1678,0.005593333
trihir,2,30,0.1661,0.005536667
trihir,3,30,0.1727,0.005756667
triinc,1,30,0.2356,0.007853333
triinc,3,30,0.204,0.0068
triinc,2,30,0.2163,0.00721
vulmyu,3,30,0.0198,0.00066
vulmyu,2,30,0.0221,0.000736667
vulmyu,1,30,0.0207,0.00069
