block,nut_trt,ppt_trt,root,rep,fungi,count
1,c,d,1,1,amf,1
1,c,d,1,2,amf,0
1,c,d,1,3,amf,1
1,c,d,1,4,amf,0
1,c,d,1,5,amf,0
1,c,d,1,6,amf,0
1,c,d,1,7,amf,1
1,c,d,1,8,amf,0
1,c,d,1,9,amf,1
1,c,d,1,10,amf,1
1,c,d,1,1,dse,1
1,c,d,1,2,dse,0
1,c,d,1,3,dse,1
1,c,d,1,4,dse,1
1,c,d,1,5,dse,1
1,c,d,1,6,dse,1
1,c,d,1,7,dse,1
1,c,d,1,8,dse,1
1,c,d,1,9,dse,1
1,c,d,1,10,dse,1
1,c,d,1,1,unknown,0
1,c,d,1,2,unknown,0
1,c,d,1,3,unknown,0
1,c,d,1,4,unknown,0
1,c,d,1,5,unknown,0
1,c,d,1,6,unknown,0
1,c,d,1,7,unknown,0
1,c,d,1,8,unknown,0
1,c,d,1,9,unknown,0
1,c,d,1,10,unknown,0
1,c,d,2,1,amf,0
1,c,d,2,2,amf,0
1,c,d,2,3,amf,0
1,c,d,2,4,amf,0
1,c,d,2,5,amf,0
1,c,d,2,6,amf,0
1,c,d,2,7,amf,0
1,c,d,2,8,amf,0
1,c,d,2,9,amf,0
1,c,d,2,10,amf,0
1,c,d,2,1,dse,1
1,c,d,2,2,dse,1
1,c,d,2,3,dse,1
1,c,d,2,4,dse,1
1,c,d,2,5,dse,1
1,c,d,2,6,dse,1
1,c,d,2,7,dse,1
1,c,d,2,8,dse,1
1,c,d,2,9,dse,1
1,c,d,2,10,dse,1
1,c,d,2,1,unknown,0
1,c,d,2,2,unknown,0
1,c,d,2,3,unknown,0
1,c,d,2,4,unknown,0
1,c,d,2,5,unknown,0
1,c,d,2,6,unknown,0
1,c,d,2,7,unknown,0
1,c,d,2,8,unknown,0
1,c,d,2,9,unknown,0
1,c,d,2,10,unknown,0
1,c,d,3,1,amf,0
1,c,d,3,2,amf,0
1,c,d,3,3,amf,1
1,c,d,3,4,amf,0
1,c,d,3,5,amf,1
1,c,d,3,6,amf,1
1,c,d,3,7,amf,1
1,c,d,3,8,amf,1
1,c,d,3,9,amf,0
1,c,d,3,10,amf,1
1,c,d,3,1,dse,1
1,c,d,3,2,dse,1
1,c,d,3,3,dse,1
1,c,d,3,4,dse,1
1,c,d,3,5,dse,0
1,c,d,3,6,dse,1
1,c,d,3,7,dse,1
1,c,d,3,8,dse,0
1,c,d,3,9,dse,1
1,c,d,3,10,dse,1
1,c,d,3,1,unknown,0
1,c,d,3,2,unknown,0
1,c,d,3,3,unknown,0
1,c,d,3,4,unknown,0
1,c,d,3,5,unknown,0
1,c,d,3,6,unknown,0
1,c,d,3,7,unknown,0
1,c,d,3,8,unknown,0
1,c,d,3,9,unknown,0
1,c,d,3,10,unknown,0
1,c,d,4,1,amf,1
1,c,d,4,2,amf,1
1,c,d,4,3,amf,0
1,c,d,4,4,amf,0
1,c,d,4,5,amf,0
1,c,d,4,6,amf,0
1,c,d,4,7,amf,1
1,c,d,4,8,amf,1
